episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/min_exploration,info/max_exploration,info/num_target_updates,info/num_steps_trained,info/num_steps_sampled,info/sample_throughput,info/train_throughput,info/num_weight_syncs,info/num_samples_dropped,perf/cpu_util_percent,perf/ram_util_percent,info/learner_queue/size_count,info/learner_queue/size_mean,info/learner_queue/size_std,info/learner_queue/size_quantiles,info/replay_shard_0/add_batch_time_ms,info/replay_shard_0/replay_time_ms,info/replay_shard_0/update_priorities_time_ms,info/replay_shard_0/policy_default_policy/added_count,info/replay_shard_0/policy_default_policy/sampled_count,info/replay_shard_0/policy_default_policy/est_size_bytes,info/replay_shard_0/policy_default_policy/num_entries
0.0,0.0,0.0,13.456473214285714,896,25672,False,25672,896,1,1029114b958a4df6b1401af28a4d9738,2020-03-13_21-03-47,1584133427,33.334285736083984,33.334285736083984,1739,ray-apex-target-head-19779d27,10.128.0.52,33.334285736083984,25672,1,8,07c3f5fc,0,30.701449359034314,17.278950232111985,4.281746843919695,0.0,0.4,0,0,25672,0.0,0.0,51,2438,77.06170212765957,11.568085106382979,98427,0.42,1.2820296408429879,"[0.0, 0.0, 0.0, 1.1000000000000014, 6.0]",32.622,nan,nan,6033,0,16382995,6033
4.0,0.0,0.013189448441247002,15.384892086330936,834,35536,False,61208,1730,2,1029114b958a4df6b1401af28a4d9738,2020-03-13_21-04-20,1584133460,33.247936725616455,66.58222246170044,1739,ray-apex-target-head-19779d27,10.128.0.52,66.58222246170044,61208,2,8,07c3f5fc,0,32.62281936658922,18.071564979519042,4.2503812007217165,0.0,0.4,6,68096,61208,0.0,22450.067,133,18336,87.95777777777778,15.184444444444448,137691,11.74,4.293297101296392,"[0.0, 4.9, 13.0, 16.0, 16.0]",40.948,97.152,101.349,18567,61952,50440497,18567
5.0,0.0,0.3459715639810427,62.4739336492891,211,34879,False,96087,1941,3,1029114b958a4df6b1401af28a4d9738,2020-03-13_21-04-53,1584133493,32.859854221343994,99.44207668304443,1739,ray-apex-target-head-19779d27,10.128.0.52,99.44207668304443,96087,3,8,07c3f5fc,0,34.950915511398556,16.09465277938459,4.539930517009582,0.0,0.4,18,188928,96087,0.0,0.0,209,25338,94.44222222222221,20.94,139693,13.26,4.736285464369731,"[0.0, 4.9, 16.0, 16.0, 16.0]",43.855,104.091,105.142,26969,158208,73451303,26969
4.0,0.0,0.4305555555555556,61.907407407407405,216,34874,False,130961,2157,4,1029114b958a4df6b1401af28a4d9738,2020-03-13_21-05-26,1584133526,33.18510460853577,132.6271812915802,1739,ray-apex-target-head-19779d27,10.128.0.52,132.6271812915802,130961,4,8,07c3f5fc,0,36.101447017557966,15.22606785357217,4.7175969798084125,0.0,0.4,31,321536,130961,0.0,35490.318,281,25803,95.4681818181818,27.006818181818176,139951,13.28,4.745692783988445,"[0.0, 4.9, 16.0, 16.0, 16.0]",54.746,112.783,99.879,36975,250368,101641153,36975
5.0,0.0,0.3965014577259475,38.34402332361516,343,34099,False,165060,2500,5,1029114b958a4df6b1401af28a4d9738,2020-03-13_21-06-00,1584133560,33.94758319854736,166.57476449012756,1739,ray-apex-target-head-19779d27,10.128.0.52,166.57476449012756,165060,5,8,07c3f5fc,0,36.66776014036191,15.075669814922703,4.824723660837351,0.0,0.4,44,454144,165060,0.0,0.0,356,26260,93.2804347826087,33.05869565217392,140211,13.28,4.745692783988446,"[0.0, 4.9, 16.0, 16.0, 16.0]",45.027,120.307,96.688,45791,336896,126310165,45791
6.0,0.0,0.34146341463414637,21.571428571428573,574,32135,False,197195,3074,6,1029114b958a4df6b1401af28a4d9738,2020-03-13_21-06-34,1584133594,33.9215304851532,200.49629497528076,1739,ray-apex-target-head-19779d27,10.128.0.52,200.49629497528076,197195,6,8,07c3f5fc,0,37.24034422280549,15.603421099686049,4.930772526924357,0.0,0.4,56,585728,197195,0.0,0.0,422,26719,94.25333333333334,39.20444444444444,140468,13.28,4.745692783988446,"[0.0, 4.9, 16.0, 16.0, 16.0]",39.433,112.246,106.672,52619,430592,145551737,52619
5.0,0.0,0.5984251968503937,34.2992125984252,381,34561,False,231756,3455,7,1029114b958a4df6b1401af28a4d9738,2020-03-13_21-07-08,1584133628,34.108927965164185,234.60522294044495,1739,ray-apex-target-head-19779d27,10.128.0.52,234.60522294044495,231756,7,8,07c3f5fc,0,37.58850438891094,15.424513666696345,4.969375105148459,0.0,0.4,69,720384,231756,5457.372,0.0,490,27175,93.0695652173913,43.46304347826087,140731,13.24,4.726774798951183,"[0.0, 4.9, 16.0, 16.0, 16.0]",41.333,126.911,97.542,62244,523776,172112664,62244
4.0,0.0,0.7029702970297029,32.054455445544555,404,34118,False,265874,3859,8,1029114b958a4df6b1401af28a4d9738,2020-03-13_21-07-42,1584133662,34.1606023311615,268.76582527160645,1739,ray-apex-target-head-19779d27,10.128.0.52,268.76582527160645,265874,8,8,07c3f5fc,0,37.84555883814099,15.341738127077676,4.982800996178457,0.0,0.4,82,856064,265874,0.0,0.0,557,27630,92.98913043478261,44.11521739130434,140996,13.26,4.736285464369731,"[0.0, 4.9, 16.0, 16.0, 16.0]",44.455,117.444,99.086,68664,616448,190336372,68664
3.0,0.0,0.752895752895753,50.84169884169884,259,34856,False,300730,4118,9,1029114b958a4df6b1401af28a4d9738,2020-03-13_21-08-16,1584133696,33.59865164756775,302.3644769191742,1739,ray-apex-target-head-19779d27,10.128.0.52,302.3644769191742,300730,9,8,07c3f5fc,0,38.15725248075412,15.071462925911092,5.007284332016224,0.0,0.4,95,992256,300730,0.0,0.0,626,28081,94.15999999999998,44.48444444444444,141261,13.28,4.745692783988446,"[0.0, 4.9, 16.0, 16.0, 16.0]",44.623,110.346,108.158,77879,708608,216847829,77879
4.0,0.0,0.9755102040816327,53.89795918367347,245,34878,False,335608,4363,10,1029114b958a4df6b1401af28a4d9738,2020-03-13_21-08-50,1584133730,33.881651639938354,336.24612855911255,1739,ray-apex-target-head-19779d27,10.128.0.52,336.24612855911255,335608,10,8,07c3f5fc,0,38.385020129352775,14.864069241751361,5.023682638461635,0.0,0.4,108,1125888,335608,0.0,0.0,701,28525,94.3711111111111,44.67999999999999,141523,13.28,4.745692783988446,"[0.0, 4.9, 16.0, 16.0, 16.0]",49.144,113.257,104.312,87499,800256,244722865,87499
