episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/min_exploration,info/max_exploration,info/num_target_updates,info/num_steps_trained,info/num_steps_sampled,info/sample_throughput,info/train_throughput,info/num_weight_syncs,info/num_samples_dropped,perf/cpu_util_percent,perf/ram_util_percent,info/learner_queue/size_count,info/learner_queue/size_mean,info/learner_queue/size_std,info/learner_queue/size_quantiles,info/replay_shard_0/add_batch_time_ms,info/replay_shard_0/replay_time_ms,info/replay_shard_0/update_priorities_time_ms,info/replay_shard_0/policy_default_policy/added_count,info/replay_shard_0/policy_default_policy/sampled_count,info/replay_shard_0/policy_default_policy/est_size_bytes,info/replay_shard_0/policy_default_policy/num_entries
4.0,0.0,0.18867924528301888,41.91320754716981,265,25502,False,25502,265,1,eeb5fc03f79d4e9cbf98558a582d8905,2020-03-12_08-40-46,1584002446,33.51609826087952,33.51609826087952,1741,ray-cpu-16-persistent-head-5853d225,10.128.0.49,33.51609826087952,25502,1,8,101d3cea,0,34.484174555564465,12.185695184170477,5.086315494383716,0.0,0.4,0,0,25502,0.0,0.0,51,2149,76.83617021276596,11.75531914893617,83018,0.68,1.617899873292535,"[0.0, 0.0, 0.0, 3.0, 7.0]",35.915,nan,nan,9137,0,24773151,9137
3.0,0.0,0.07512953367875648,36.3419689119171,386,34130,False,59632,651,2,eeb5fc03f79d4e9cbf98558a582d8905,2020-03-12_08-41-20,1584002480,34.70396327972412,68.22006154060364,1741,ray-cpu-16-persistent-head-5853d225,10.128.0.49,68.22006154060364,59632,2,8,101d3cea,0,36.733024234457545,14.256964012337557,5.191727841973379,0.0,0.4,1,64512,59632,4955.536,6343.086,127,26241,86.29361702127657,15.78297872340425,109120,6.4,4.967896939349688,"[0.0, 0.0, 6.0, 14.0, 16.0]",42.938,101.416,95.294,19195,67584,51727329,19195
5.0,0.0,0.017892644135188866,20.399602385685885,503,27361,False,86993,1154,3,eeb5fc03f79d4e9cbf98558a582d8905,2020-03-12_08-41-56,1584002516,35.39744448661804,103.61750602722168,1741,ray-cpu-16-persistent-head-5853d225,10.128.0.49,103.61750602722168,86993,3,8,101d3cea,0,39.09777233588057,17.51201985685938,5.612570531513421,0.0,0.4,3,169984,86993,0.0,0.0,178,26695,91.92127659574469,20.8468085106383,109349,13.28,4.745692783988446,"[0.0, 4.9, 16.0, 16.0, 16.0]",42.722,131.125,114.69,26850,151552,71566378,26850
5.0,0.0,0.10204081632653061,46.7265306122449,245,29706,False,116699,1399,4,eeb5fc03f79d4e9cbf98558a582d8905,2020-03-12_08-42-30,1584002550,34.810763359069824,138.4282693862915,1741,ray-cpu-16-persistent-head-5853d225,10.128.0.49,138.4282693862915,116699,4,8,101d3cea,0,40.300263572368316,17.396400090437513,5.840133510457282,0.0,0.4,5,283648,116699,0.0,0.0,243,27151,92.45000000000002,26.03478260869565,109570,13.28,4.745692783988446,"[0.0, 4.9, 16.0, 16.0, 16.0]",41.072,120.631,115.58,36502,235520,97382706,36502
6.0,0.0,0.5228426395939086,60.83756345177665,197,31257,False,147956,1596,5,eeb5fc03f79d4e9cbf98558a582d8905,2020-03-12_08-43-05,1584002585,34.61838459968567,173.04665398597717,1741,ray-cpu-16-persistent-head-5853d225,10.128.0.49,173.04665398597717,147956,5,8,101d3cea,0,41.085189053321756,17.070613509107933,5.949253043468048,0.0,0.4,7,400384,147956,0.0,28099.598,310,27590,92.45000000000002,31.36521739130435,109798,13.26,4.736285464369731,"[0.0, 4.9, 16.0, 16.0, 16.0]",45.526,124.818,111.497,44932,315904,120221820,44932
4.0,0.0,0.35319148936170214,47.12340425531915,235,29275,False,177231,1831,6,eeb5fc03f79d4e9cbf98558a582d8905,2020-03-12_08-43-40,1584002620,34.635833740234375,207.68248772621155,1741,ray-cpu-16-persistent-head-5853d225,10.128.0.49,207.68248772621155,177231,6,8,101d3cea,0,41.69614014396623,17.12483221314452,6.055052693009217,0.0,0.4,10,516096,177231,0.0,10484.122,373,28008,91.04042553191489,36.66170212765957,110025,13.26,4.736285464369731,"[0.0, 4.9, 16.0, 16.0, 16.0]",51.431,138.956,115.249,52951,396288,141799425,52951
4.0,0.0,0.6652360515021459,50.33476394849785,233,30105,False,207336,2064,7,eeb5fc03f79d4e9cbf98558a582d8905,2020-03-12_08-44-14,1584002654,34.48007655143738,242.16256427764893,1741,ray-cpu-16-persistent-head-5853d225,10.128.0.49,242.16256427764893,207336,7,8,101d3cea,0,41.96014349349487,17.114788956726443,6.123750460664473,0.0,0.4,12,629760,207336,3612.546,3075.018,440,28424,93.58444444444443,41.604444444444454,110247,13.26,4.736285464369731,"[0.0, 4.9, 16.0, 16.0, 16.0]",41.569,122.861,105.543,59386,473600,159181806,59386
4.0,0.0,0.606425702811245,45.57429718875502,249,30493,False,237829,2313,8,eeb5fc03f79d4e9cbf98558a582d8905,2020-03-12_08-44-49,1584002689,34.3881778717041,276.550742149353,1741,ray-cpu-16-persistent-head-5853d225,10.128.0.49,276.550742149353,237829,8,8,101d3cea,0,42.32417141943714,17.192339268323266,6.154830279042643,0.0,0.4,14,751616,237829,0.0,23435.446,506,28834,92.5195652173913,44.07608695652173,110484,13.28,4.745692783988446,"[0.0, 4.9, 16.0, 16.0, 16.0]",48.78,127.054,121.761,66615,559616,178870601,66615
5.0,0.0,0.6553191489361702,48.57872340425532,235,29674,False,267503,2548,9,eeb5fc03f79d4e9cbf98558a582d8905,2020-03-12_08-45-23,1584002723,34.649049282073975,311.199791431427,1741,ray-cpu-16-persistent-head-5853d225,10.128.0.49,311.199791431427,267503,9,8,101d3cea,0,42.49018672299985,17.146122601689285,6.193347480277719,0.0,0.4,17,866816,267503,0.0,0.0,572,29244,92.20652173913041,44.232608695652175,110710,13.28,4.745692783988446,"[0.0, 4.9, 16.0, 16.0, 16.0]",42.882,126.471,115.473,72219,644608,194206869,72219
4.0,0.0,0.8990384615384616,54.13461538461539,208,29715,False,297218,2756,10,eeb5fc03f79d4e9cbf98558a582d8905,2020-03-12_08-45-58,1584002758,34.74029612541199,345.940087556839,1741,ray-cpu-16-persistent-head-5853d225,10.128.0.49,345.940087556839,297218,10,8,101d3cea,0,42.79983724708932,17.156955035793295,6.226499860356608,0.0,0.4,19,983040,297218,0.0,0.0,640,29649,91.7782608695652,44.59130434782608,110937,13.26,4.736285464369731,"[0.0, 4.9, 16.0, 16.0, 16.0]",49.769,128.702,117.771,79467,724480,214083965,79467
