episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/min_exploration,info/max_exploration,info/num_target_updates,info/num_steps_trained,info/num_steps_sampled,info/sample_throughput,info/train_throughput,info/num_weight_syncs,info/num_samples_dropped,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,info/learner_queue/size_count,info/learner_queue/size_mean,info/learner_queue/size_std,info/learner_queue/size_quantiles,info/replay_shard_0/add_batch_time_ms,info/replay_shard_0/replay_time_ms,info/replay_shard_0/update_priorities_time_ms,info/replay_shard_0/policy_default_policy/added_count,info/replay_shard_0/policy_default_policy/sampled_count,info/replay_shard_0/policy_default_policy/est_size_bytes,info/replay_shard_0/policy_default_policy/num_entries
0.0,0.0,0.0,15.055207026348809,797,25047,False,25047,797,1,a0ae5d6ef95e47d391760f7c9f162052,2020-03-25_09-03-22,1585127002,303.23702788352966,303.23702788352966,1529,ray-apex-gpu-head-540c03d7,10.128.0.9,303.23702788352966,25047,1,16,aed56662,0,45.56501329381131,29.67028817373208,6.979522407156015,0.0,0.4,0,0,25047,6150.823,0.0,46,2163,59.30266343825666,10.115980629539951,0.00033898305084745765,0.02491040992920199,1019655,0.48,1.2998461447417535,"[0.0, 0.0, 0.0, 2.0, 6.0]",33.475,nan,nan,5536,0,15321552,5536
3.0,0.0,0.11978021978021978,22.7,910,61226,False,86273,1707,2,a0ae5d6ef95e47d391760f7c9f162052,2020-03-25_09-03-56,1585127036,34.32224655151367,337.55927443504333,1529,ray-apex-gpu-head-540c03d7,10.128.0.9,337.55927443504333,86273,2,16,aed56662,0,44.104683005488795,24.60153856540943,6.438807153939748,0.0,0.4,0,164864,86273,0.0,0.0,173,3797,72.38913043478261,18.204347826086952,0.18000000000000002,0.02491040992920198,1051902,0.22,0.41424630354415964,"[0.0, 0.0, 0.0, 1.0, 1.0]",44.639,115.364,90.271,16819,32768,47403761,16819
5.0,0.0,0.47649918962722854,39.05996758508914,617,64592,False,150865,2324,3,a0ae5d6ef95e47d391760f7c9f162052,2020-03-25_09-04-31,1585127071,34.71541476249695,372.2746891975403,1529,ray-apex-gpu-head-540c03d7,10.128.0.9,372.2746891975403,150865,3,16,aed56662,0,43.12316440869317,21.168322370259666,6.139330041941724,0.0,0.4,0,415232,150865,5894.759,7489.123,314,3797,76.96808510638297,26.35744680851064,0.22851063829787235,0.02491040992920198,1052392,0.14,0.3469870314579494,"[0.0, 0.0, 0.0, 1.0, 1.0]",43.907,124.435,89.148,31644,95744,88730920,31644
5.0,0.0,0.9951690821256038,57.68357487922705,414,67779,False,218644,2738,4,a0ae5d6ef95e47d391760f7c9f162052,2020-03-25_09-05-06,1585127106,34.98566269874573,407.260351896286,1529,ray-apex-gpu-head-540c03d7,10.128.0.9,407.260351896286,218644,4,16,aed56662,0,42.84344899135627,19.146465581203266,6.05661562309303,0.0,0.4,1,665600,218644,0.0,0.0,463,3797,78.75652173913045,34.44782608695653,0.23630434782608697,0.02491040992920198,1052880,0.26,0.48207883172775806,"[0.0, 0.0, 0.0, 1.0, 2.0]",45.419,117.654,87.921,47667,158720,133900833,47667
4.0,0.0,1.5174129353233832,62.53233830845771,402,67345,False,285989,3140,5,a0ae5d6ef95e47d391760f7c9f162052,2020-03-25_09-05-41,1585127141,35.18253707885742,442.44288897514343,1529,ray-apex-gpu-head-540c03d7,10.128.0.9,442.44288897514343,285989,5,16,aed56662,0,42.590842375505744,17.961329468922713,5.987263186244156,0.0,0.4,1,915456,285989,17482.93,0.0,615,3797,77.20851063829787,42.431914893617005,0.22382978723404254,0.02491040992920198,1053367,0.34,0.62,"[0.0, 0.0, 0.0, 1.0, 2.0]",39.895,123.634,90.99,67724,220160,190794340,67724
5.0,0.0,1.808108108108108,67.14864864864865,370,67734,False,353723,3510,6,a0ae5d6ef95e47d391760f7c9f162052,2020-03-25_09-06-16,1585127176,35.08241677284241,477.52530574798584,1529,ray-apex-gpu-head-540c03d7,10.128.0.9,477.52530574798584,353723,6,16,aed56662,0,42.38789249607241,17.187987223525944,5.953861550380611,0.0,0.4,2,1165824,353723,0.0,0.0,773,3797,77.19148936170212,45.051063829787225,0.194468085106383,0.02491040992920198,1053856,0.26,0.4386342439892262,"[0.0, 0.0, 0.0, 1.0, 1.0]",41.118,123.725,90.583,82934,283136,233729658,82934
5.0,0.0,2.424324324324324,70.50540540540541,370,70144,False,423867,3880,7,a0ae5d6ef95e47d391760f7c9f162052,2020-03-25_09-06-52,1585127212,35.871105432510376,513.3964111804962,1529,ray-apex-gpu-head-540c03d7,10.128.0.9,513.3964111804962,423867,7,16,aed56662,0,42.25822202629502,16.634860131374094,5.942653232506957,0.0,0.4,2,1411584,423867,6732.727,17235.782,938,3797,75.70208333333333,45.62916666666666,0.2472916666666667,0.02491040992920199,1054337,0.16,0.36660605559646714,"[0.0, 0.0, 0.0, 1.0, 1.0]",44.622,127.956,95.23,99785,345088,281578711,99785
6.0,0.0,2.5969387755102042,68.72448979591837,392,70532,False,494399,4272,8,a0ae5d6ef95e47d391760f7c9f162052,2020-03-25_09-07-28,1585127248,35.47307252883911,548.8694837093353,1529,ray-apex-gpu-head-540c03d7,10.128.0.9,548.8694837093353,494399,8,16,aed56662,0,42.05282966009087,16.225224833441928,5.895151787334363,0.0,0.4,3,1655808,494399,0.0,0.0,1099,3797,76.93829787234043,46.21702127659576,0.20276595744680853,0.02491040992920198,1054813,0.26,0.4386342439892262,"[0.0, 0.0, 0.0, 1.0, 1.0]",41.776,116.367,89.49,120207,404992,339079217,120207
6.0,0.0,3.052486187845304,71.9060773480663,362,70542,False,564941,4634,9,a0ae5d6ef95e47d391760f7c9f162052,2020-03-25_09-08-03,1585127283,35.59200358390808,584.4614872932434,1529,ray-apex-gpu-head-540c03d7,10.128.0.9,584.4614872932434,564941,9,16,aed56662,0,41.963753926587444,15.852349290346185,5.87496401175933,0.0,0.4,3,1901056,564941,0.0,0.0,1262,3797,75.49374999999999,46.75416666666666,0.20166666666666666,0.02491040992920199,1055292,0.3,0.5385164807134504,"[0.0, 0.0, 0.0, 1.0, 2.0]",40.745,123.742,97.886,139055,465408,392601793,139055
6.0,0.0,3.152,71.544,375,70532,False,635473,5009,10,a0ae5d6ef95e47d391760f7c9f162052,2020-03-25_09-08-39,1585127319,35.47614336013794,619.9376306533813,1529,ray-apex-gpu-head-540c03d7,10.128.0.9,619.9376306533813,635473,10,16,aed56662,0,41.87814369983629,15.601621236544682,5.854114852872706,0.0,0.4,4,2147840,635473,0.0,0.0,1429,3797,77.03404255319148,47.34255319148936,0.16361702127659575,0.02491040992920198,1055775,0.2,0.48989794855663565,"[0.0, 0.0, 0.0, 1.0, 2.0]",44.171,124.958,96.286,158283,527360,447321489,158283
