episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/min_exploration,info/max_exploration,info/num_target_updates,info/num_steps_trained,info/num_steps_sampled,info/sample_throughput,info/train_throughput,info/num_weight_syncs,info/num_samples_dropped,perf/cpu_util_percent,perf/ram_util_percent,info/learner_queue/size_count,info/learner_queue/size_mean,info/learner_queue/size_std,info/learner_queue/size_quantiles,info/replay_shard_0/add_batch_time_ms,info/replay_shard_0/replay_time_ms,info/replay_shard_0/update_priorities_time_ms,info/replay_shard_0/policy_default_policy/added_count,info/replay_shard_0/policy_default_policy/sampled_count,info/replay_shard_0/policy_default_policy/est_size_bytes,info/replay_shard_0/policy_default_policy/num_entries
4.0,0.0,0.16358024691358025,36.614197530864196,324,26326,False,26326,324,1,a1abd0f83b684bba836c2c97b7c9e511,2020-03-17_13-41-39,1584452499,33.713430404663086,33.713430404663086,1714,ray-apex-epsilon-target-head-080388e8,10.128.0.4,33.713430404663086,26326,1,8,ed00bc8e,0,33.2553335419552,11.982373912927775,4.628172033295487,0.0,0.4,0,0,26326,3948.132,0.0,54,1893,74.98723404255317,11.663829787234041,87115,0.06,0.31048349392520047,"[0.0, 0.0, 0.0, 0.0, 2.0]",35.263,nan,nan,6330,0,16940818,6330
4.0,0.0,0.12365591397849462,34.623655913978496,372,35324,False,61650,696,2,a1abd0f83b684bba836c2c97b7c9e511,2020-03-17_13-42-13,1584452533,34.14713168144226,67.86056208610535,1714,ray-apex-epsilon-target-head-080388e8,10.128.0.4,67.86056208610535,61650,2,8,ed00bc8e,0,36.024565062790685,13.650004788079364,4.843334406265025,0.0,0.4,6,69120,61650,0.0,54571.144,132,21456,88.39999999999999,15.280434782608692,115177,13.22,4.72139809802139,"[0.0, 4.9, 16.0, 16.0, 16.0]",43.983,113.692,104.637,15982,45568,42478738,15982
5.0,0.0,0.4906832298136646,74.22360248447205,161,32041,False,93691,857,3,a1abd0f83b684bba836c2c97b7c9e511,2020-03-17_13-42-47,1584452567,33.66042971611023,101.52099180221558,1714,ray-apex-epsilon-target-head-080388e8,10.128.0.4,101.52099180221558,93691,3,8,ed00bc8e,0,38.498165197906886,13.844014882923416,5.254911503681812,0.0,0.4,17,187392,93691,0.0,0.0,205,21926,94.41333333333336,20.82,115409,13.28,4.745692783988445,"[0.0, 4.9, 16.0, 16.0, 16.0]",43.114,119.318,119.061,24784,136192,66663692,24784
4.0,0.0,0.6949152542372882,41.23728813559322,295,31691,False,125382,1152,4,a1abd0f83b684bba836c2c97b7c9e511,2020-03-17_13-43-21,1584452601,34.434773206710815,135.9557650089264,1714,ray-apex-epsilon-target-head-080388e8,10.128.0.4,135.9557650089264,125382,4,8,ed00bc8e,0,39.62368969945295,14.456166758457112,5.419997341254707,0.0,0.4,28,305664,125382,0.0,0.0,276,22398,93.43478260869566,26.691304347826076,115640,13.26,4.736285464369731,"[0.0, 4.9, 16.0, 16.0, 16.0]",44.322,111.974,109.708,32808,221696,88998504,32808
3.0,0.0,1.1741573033707866,68.62359550561797,178,32052,False,157434,1330,5,a1abd0f83b684bba836c2c97b7c9e511,2020-03-17_13-43-55,1584452635,33.4388587474823,169.3946237564087,1714,ray-apex-epsilon-target-head-080388e8,10.128.0.4,169.3946237564087,157434,5,8,ed00bc8e,0,40.44544970002827,14.404436629131066,5.519171974422306,0.0,0.4,39,423424,157434,0.0,0.0,348,22866,94.15777777777781,32.34888888888888,115870,13.28,4.745692783988446,"[0.0, 4.9, 16.0, 16.0, 16.0]",63.974,116.589,106.859,38823,304640,105657469,38823
4.0,0.0,1.0494505494505495,65.85164835164835,182,32112,False,189546,1512,6,a1abd0f83b684bba836c2c97b7c9e511,2020-03-17_13-44-29,1584452669,33.706074714660645,203.10069847106934,1714,ray-apex-epsilon-target-head-080388e8,10.128.0.4,203.10069847106934,189546,6,8,ed00bc8e,0,40.93098092698433,14.364590963363053,5.62354476667843,0.0,0.4,50,542208,189546,0.0,0.0,423,23318,94.31333333333332,38.03777777777778,116102,13.28,4.745692783988446,"[0.0, 4.9, 16.0, 16.0, 16.0]",43.36,125.992,112.292,47660,392704,130354188,47660
4.0,0.0,1.5591397849462365,64.43010752688173,186,32057,False,221603,1698,7,a1abd0f83b684bba836c2c97b7c9e511,2020-03-17_13-45-02,1584452702,33.543277978897095,236.64397644996643,1714,ray-apex-epsilon-target-head-080388e8,10.128.0.4,236.64397644996643,221603,7,8,ed00bc8e,0,41.29001609398463,14.409008012635157,5.68387884939069,0.0,0.4,61,659968,221603,0.0,0.0,494,23774,94.17777777777778,42.839999999999996,116332,13.26,4.736285464369731,"[0.0, 4.9, 16.0, 16.0, 16.0]",41.631,123.39,118.938,55678,478208,153052274,55678
4.0,0.0,2.427710843373494,72.63855421686748,166,32049,False,253652,1864,8,a1abd0f83b684bba836c2c97b7c9e511,2020-03-17_13-45-35,1584452735,33.34167408943176,269.9856505393982,1714,ray-apex-epsilon-target-head-080388e8,10.128.0.4,269.9856505393982,253652,8,8,ed00bc8e,0,41.569506461640024,14.404812153768994,5.7181657683286655,0.0,0.4,72,779264,253652,0.0,0.0,568,24236,95.2681818181818,43.77499999999999,116564,13.28,4.745692783988446,"[0.0, 4.9, 16.0, 16.0, 16.0]",41.549,116.697,110.555,64112,566784,177196720,64112
4.0,2.0,3.0542168674698793,72.12650602409639,166,32055,False,285707,2030,9,a1abd0f83b684bba836c2c97b7c9e511,2020-03-17_13-46-09,1584452769,33.41780424118042,303.4034547805786,1714,ray-apex-epsilon-target-head-080388e8,10.128.0.4,303.4034547805786,285707,9,8,ed00bc8e,0,41.79632227975199,14.3922945529549,5.749216371667419,0.0,0.4,83,897536,285707,0.0,0.0,645,24686,94.22222222222224,44.08222222222221,116795,13.28,4.745692783988445,"[0.0, 4.9, 16.0, 16.0, 16.0]",44.594,127.575,116.473,73321,656384,203973311,73321
5.0,2.0,3.3273809523809526,70.9047619047619,168,31673,False,317380,2198,10,a1abd0f83b684bba836c2c97b7c9e511,2020-03-17_13-46-43,1584452803,33.960418701171875,337.3638734817505,1714,ray-apex-epsilon-target-head-080388e8,10.128.0.4,337.3638734817505,317380,10,8,ed00bc8e,0,42.042702749658396,14.40501821863849,5.802862663006392,0.0,0.4,94,1013760,317380,0.0,0.0,717,25125,94.70444444444443,44.402222222222214,117023,13.24,4.726774798951184,"[0.0, 4.9, 16.0, 16.0, 16.0]",46.073,140.029,119.442,80529,741376,225222003,80529
5.0,0.0,3.566473988439306,70.89017341040463,173,32069,False,349449,2371,11,a1abd0f83b684bba836c2c97b7c9e511,2020-03-17_13-47-16,1584452836,33.44340205192566,370.80727553367615,1714,ray-apex-epsilon-target-head-080388e8,10.128.0.4,370.80727553367615,349449,11,8,ed00bc8e,0,42.163718320973736,14.410386341123045,5.820151493797578,0.0,0.4,105,1132544,349449,0.0,0.0,791,25552,95.09772727272725,44.61590909090909,117255,13.28,4.745692783988445,"[0.0, 4.9, 16.0, 16.0, 16.0]",47.382,141.658,108.908,89742,824320,252536778,89742
5.0,0.0,3.441860465116279,70.07558139534883,172,32053,False,381502,2543,12,a1abd0f83b684bba836c2c97b7c9e511,2020-03-17_13-47-50,1584452870,33.76550030708313,404.5727758407593,1714,ray-apex-epsilon-target-head-080388e8,10.128.0.4,404.5727758407593,381502,12,8,ed00bc8e,0,42.28732645351154,14.417763248470111,5.849673861236246,0.0,0.4,116,1250816,381502,0.0,0.0,860,25978,93.97555555555554,44.839999999999996,117486,13.26,4.736285464369731,"[0.0, 4.9, 16.0, 16.0, 16.0]",47.934,148.234,109.146,97352,909824,274930820,97352
6.0,0.0,3.625,70.25595238095238,168,32052,False,413554,2711,13,a1abd0f83b684bba836c2c97b7c9e511,2020-03-17_13-48-23,1584452903,33.16454577445984,437.7373216152191,1714,ray-apex-epsilon-target-head-080388e8,10.128.0.4,437.7373216152191,413554,13,8,ed00bc8e,0,42.344009757447296,14.417909553843069,5.8736664059856265,0.0,0.4,127,1370624,413554,0.0,0.0,932,26402,94.80454545454546,45.07727272727272,117719,13.26,4.736285464369731,"[0.0, 4.9, 16.0, 16.0, 16.0]",45.391,128.724,114.404,104957,995328,297664667,104957
6.0,0.0,3.63953488372093,70.27906976744185,172,31654,False,445208,2883,14,a1abd0f83b684bba836c2c97b7c9e511,2020-03-17_13-48-57,1584452937,33.28990435600281,471.0272259712219,1714,ray-apex-epsilon-target-head-080388e8,10.128.0.4,471.0272259712219,445208,14,8,ed00bc8e,0,42.43810344707824,14.39812465103836,5.8816885375581895,0.0,0.4,138,1490944,445208,0.0,0.0,1000,26812,95.0,45.29318181818183,117955,13.28,4.745692783988445,"[0.0, 4.9, 16.0, 16.0, 16.0]",47.502,139.478,104.343,111790,1077248,317878602,111790
6.0,0.0,3.577142857142857,68.84,175,32060,False,477268,3058,15,a1abd0f83b684bba836c2c97b7c9e511,2020-03-17_13-49-30,1584452970,33.28439712524414,504.31162309646606,1714,ray-apex-epsilon-target-head-080388e8,10.128.0.4,504.31162309646606,477268,15,8,ed00bc8e,0,42.50541027697519,14.372167017683548,5.8914190333220136,0.0,0.4,149,1611776,477268,0.0,0.0,1073,27215,95.00454545454545,45.44772727272727,118191,13.28,4.745692783988445,"[0.0, 4.9, 16.0, 16.0, 16.0]",47.113,131.241,108.221,121803,1159680,347717021,121803
5.0,0.0,3.63953488372093,69.4186046511628,172,32064,False,509332,3230,16,a1abd0f83b684bba836c2c97b7c9e511,2020-03-17_13-50-03,1584453003,33.144911766052246,537.4565348625183,1714,ray-apex-epsilon-target-head-080388e8,10.128.0.4,537.4565348625183,509332,16,8,ed00bc8e,0,42.559087352479956,14.371562743712557,5.902762507039774,0.0,0.4,161,1733632,509332,0.0,0.0,1141,27615,95.1909090909091,45.67272727272727,118429,13.28,4.745692783988445,"[0.0, 4.9, 16.0, 16.0, 16.0]",42.327,142.234,113.589,131407,1243136,376429869,131407
6.0,0.0,3.6568047337278107,71.42011834319527,169,31664,False,540996,3399,17,a1abd0f83b684bba836c2c97b7c9e511,2020-03-17_13-50-37,1584453037,33.42691421508789,570.8834490776062,1714,ray-apex-epsilon-target-head-080388e8,10.128.0.4,570.8834490776062,540996,17,8,ed00bc8e,0,42.60769516216765,14.36634441544326,5.913077360173025,0.0,0.4,172,1854976,540996,0.0,0.0,1208,28015,95.23181818181818,45.92727272727273,118666,13.28,4.745692783988446,"[0.0, 4.9, 16.0, 16.0, 16.0]",46.983,129.574,108.874,138214,1326080,396657250,138214
6.0,0.0,3.739644970414201,70.50295857988165,169,32037,False,573033,3568,18,a1abd0f83b684bba836c2c97b7c9e511,2020-03-17_13-51-10,1584453070,33.26045036315918,604.1438994407654,1714,ray-apex-epsilon-target-head-080388e8,10.128.0.4,604.1438994407654,573033,18,8,ed00bc8e,0,42.65599655172257,14.364770650705358,5.921019739732435,0.0,0.4,184,1977344,573033,0.0,0.0,1284,28404,94.58636363636364,46.213636363636354,118905,13.26,4.736285464369731,"[0.0, 4.9, 16.0, 16.0, 16.0]",46.713,129.147,120.203,145417,1407488,418063795,145417
5.0,0.0,3.4885057471264367,70.55747126436782,174,32062,False,605095,3742,19,a1abd0f83b684bba836c2c97b7c9e511,2020-03-17_13-51-44,1584453104,33.68249559402466,637.82639503479,1714,ray-apex-epsilon-target-head-080388e8,10.128.0.4,637.82639503479,605095,19,8,ed00bc8e,0,42.697762626608124,14.376842304449234,5.941103665372882,0.0,0.4,195,2096128,605095,0.0,0.0,1356,28793,94.79318181818184,46.463636363636354,119137,13.24,4.726774798951183,"[0.0, 4.9, 16.0, 16.0, 16.0]",49.066,126.241,111.969,154234,1487872,444486346,154234
