episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/min_exploration,info/max_exploration,info/num_target_updates,info/num_steps_trained,info/num_steps_sampled,info/sample_throughput,info/train_throughput,info/num_weight_syncs,info/num_samples_dropped,perf/cpu_util_percent,perf/ram_util_percent,info/learner_queue/size_count,info/learner_queue/size_mean,info/learner_queue/size_std,info/learner_queue/size_quantiles,info/replay_shard_0/add_batch_time_ms,info/replay_shard_0/replay_time_ms,info/replay_shard_0/update_priorities_time_ms,info/replay_shard_0/policy_default_policy/added_count,info/replay_shard_0/policy_default_policy/sampled_count,info/replay_shard_0/policy_default_policy/est_size_bytes,info/replay_shard_0/policy_default_policy/num_entries
6.0,0.0,0.07808564231738035,28.869017632241814,397,25510,False,25510,397,1,0828c7ca90ed4a2398ceb00dd15d03c0,2020-02-06_22-58-44,1581029924,33.052061557769775,33.052061557769775,3890,ray-apex-population-source-cpu-head-53d54693,10.128.0.41,33.052061557769775,25510,1,8,204c6b97,1,32.62868646555409,13.522351243487902,4.301562401974206,0.0,0.4,0,0,25510,0.0,0.0,50,1356,78.77608695652174,10.597826086956523,82038,3.02,4.110912307505477,"[0.0, 0.0, 0.0, 9.100000000000001, 14.0]",36.992,nan,nan,4367,0,12099569,4367
2.0,0.0,0.014040561622464899,20.889235569422777,641,34206,False,59716,1038,2,0828c7ca90ed4a2398ceb00dd15d03c0,2020-02-06_22-59-19,1581029959,35.00849628448486,68.06055784225464,3890,ray-apex-population-source-cpu-head-53d54693,10.128.0.41,68.06055784225464,59716,2,8,204c6b97,1,34.290965064119,17.200144370979896,4.697371462229549,0.0,0.4,0,52224,59716,0.0,0.0,123,22104,88.82765957446807,14.07021276595745,114060,1.68,2.7744549014175743,"[0.0, 0.0, 0.0, 6.100000000000001, 10.0]",45.921,nan,nan,12018,0,33755750,12018
3.0,0.0,0.12897196261682242,17.08411214953271,535,25827,False,85543,1573,3,0828c7ca90ed4a2398ceb00dd15d03c0,2020-02-06_22-59-53,1581029993,33.64903140068054,101.70958924293518,3890,ray-apex-population-source-cpu-head-53d54693,10.128.0.41,101.70958924293518,85543,3,8,204c6b97,1,37.134838665395684,20.374282725306607,5.373397374381627,0.0,0.4,0,149504,85543,0.0,0.0,182,22512,95.9909090909091,18.56590909090909,114274,13.22,4.71716016264023,"[0.0, 4.9, 16.0, 16.0, 16.0]",47.655,131.925,121.838,18077,84992,50309067,18077
4.0,0.0,1.0518518518518518,39.355555555555554,270,29303,False,114846,1843,4,0828c7ca90ed4a2398ceb00dd15d03c0,2020-02-06_23-00-26,1581030026,33.383837938308716,135.0934271812439,3890,ray-apex-population-source-cpu-head-53d54693,10.128.0.41,135.0934271812439,114846,4,8,204c6b97,1,39.00703884427037,20.089638045493594,5.741945006578235,0.0,0.4,0,272384,114846,4398.385,5615.893,242,22931,96.29318181818181,19.74772727272727,114514,13.24,4.726774798951184,"[0.0, 4.9, 16.0, 16.0, 16.0]",45.704,131.119,121.027,25298,172032,71239482,25298
5.0,0.0,0.9809523809523809,34.33968253968254,315,28910,False,143756,2158,5,0828c7ca90ed4a2398ceb00dd15d03c0,2020-02-06_23-01-00,1581030060,33.579086780548096,168.672513961792,3890,ray-apex-population-source-cpu-head-53d54693,10.128.0.41,168.672513961792,143756,5,8,204c6b97,1,40.0615175712974,20.04621930124053,5.957042230179998,0.0,0.4,0,397312,143756,0.0,0.0,300,23349,97.03720930232559,20.013953488372092,114758,13.28,4.745692783988446,"[0.0, 4.9, 16.0, 16.0, 16.0]",42.382,122.026,103.441,33339,256512,93514661,33339
5.0,0.0,0.8498727735368957,29.091603053435115,393,28166,False,171922,2551,6,0828c7ca90ed4a2398ceb00dd15d03c0,2020-02-06_23-01-36,1581030096,35.786386013031006,204.458899974823,3890,ray-apex-population-source-cpu-head-53d54693,10.128.0.41,204.458899974823,171922,6,8,204c6b97,1,40.613310605925385,20.125704404288918,6.0640233015022735,0.0,0.4,1,527360,171922,3962.573,5072.093,355,23761,93.75106382978724,20.23829787234042,115012,13.28,4.745692783988446,"[0.0, 4.9, 16.0, 16.0, 16.0]",43.423,130.149,102.512,40572,340992,113641836,40572
5.0,0.0,1.4464944649446494,44.71955719557196,271,30931,False,202853,2822,7,0828c7ca90ed4a2398ceb00dd15d03c0,2020-02-06_23-02-11,1581030131,35.099934101104736,239.55883407592773,3890,ray-apex-population-source-cpu-head-53d54693,10.128.0.41,239.55883407592773,202853,7,8,204c6b97,1,41.0531514054289,19.691701607668556,6.138258573606175,0.0,0.4,1,653824,202853,0.0,0.0,419,24151,95.52222222222223,20.413333333333338,115259,13.2,4.707440918375928,"[0.0, 4.9, 16.0, 16.0, 16.0]",45.382,134.227,108.315,48611,422912,136193933,48611
6.0,0.0,1.159322033898305,36.36610169491525,295,28897,False,231750,3117,8,0828c7ca90ed4a2398ceb00dd15d03c0,2020-02-06_23-02-44,1581030164,33.601008892059326,273.15984296798706,3890,ray-apex-population-source-cpu-head-53d54693,10.128.0.41,273.15984296798706,231750,8,8,204c6b97,1,41.540786695257566,19.685345120514793,6.226855757422279,0.0,0.4,1,776704,231750,0.0,0.0,480,24539,96.42272727272729,20.640909090909087,115499,13.28,4.745692783988446,"[0.0, 4.9, 16.0, 16.0, 16.0]",44.555,138.325,107.461,54228,508416,151739448,54228
5.0,0.0,1.7881355932203389,51.436440677966104,236,30497,False,262247,3353,9,0828c7ca90ed4a2398ceb00dd15d03c0,2020-02-06_23-03-19,1581030199,35.065951347351074,308.22579431533813,3890,ray-apex-population-source-cpu-head-53d54693,10.128.0.41,308.22579431533813,262247,9,8,204c6b97,1,41.7711123631473,19.380834580086123,6.254472627318883,0.0,0.4,1,906240,262247,0.0,0.0,543,24923,95.79333333333332,20.939999999999998,115752,13.28,4.745692783988446,"[0.0, 4.9, 16.0, 16.0, 16.0]",45.558,145.568,105.368,64652,588800,181083888,64652
6.0,0.0,1.4926470588235294,42.25735294117647,272,30080,False,292327,3625,10,0828c7ca90ed4a2398ceb00dd15d03c0,2020-02-06_23-03-55,1581030235,35.62522292137146,343.8510172367096,3890,ray-apex-population-source-cpu-head-53d54693,10.128.0.41,343.8510172367096,292327,10,8,204c6b97,1,42.05510914012796,19.26770111098023,6.276966553644458,0.0,0.4,2,1032192,292327,3906.418,0.0,606,25299,95.43695652173912,21.14565217391304,115998,13.26,4.736285464369731,"[0.0, 4.9, 16.0, 16.0, 16.0]",47.958,135.017,109.116,71872,670208,201484404,71872
