episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/min_exploration,info/max_exploration,info/num_target_updates,info/num_steps_trained,info/num_steps_sampled,info/sample_throughput,info/train_throughput,info/num_weight_syncs,info/num_samples_dropped,perf/cpu_util_percent,perf/ram_util_percent,info/learner_queue/size_count,info/learner_queue/size_mean,info/learner_queue/size_std,info/learner_queue/size_quantiles,info/replay_shard_0/add_batch_time_ms,info/replay_shard_0/replay_time_ms,info/replay_shard_0/update_priorities_time_ms,info/replay_shard_0/policy_default_policy/added_count,info/replay_shard_0/policy_default_policy/sampled_count,info/replay_shard_0/policy_default_policy/est_size_bytes,info/replay_shard_0/policy_default_policy/num_entries
5.0,0.0,0.13032581453634084,32.092731829573935,399,28748,False,28748,399,1,1d3c318f39b840d8b7bcd90839573d74,2020-02-16_23-33-45,1581896025,34.345603704452515,34.345603704452515,1731,ray-apex-default-2-head-c82cca88,10.128.0.47,34.345603704452515,28748,1,8,ab58a230,0,33.082488940842765,11.716360845076736,4.390287710828262,0.0,0.4,0,0,28748,0.0,0.0,58,2405,75.53541666666666,11.795833333333333,93179,0.06,0.31048349392520047,"[0.0, 0.0, 0.0, 0.0, 2.0]",33.842,nan,nan,5969,0,16562455,5969
6.0,0.0,0.06482465462274177,12.720510095642933,941,31871,False,60619,1340,2,1d3c318f39b840d8b7bcd90839573d74,2020-02-16_23-34-19,1581896059,34.4846670627594,68.83027076721191,1731,ray-apex-default-2-head-c82cca88,10.128.0.47,68.83027076721191,60619,2,8,ab58a230,0,35.000344846460216,17.388341341822763,4.5445252056687035,0.0,0.4,0,73728,60619,0.0,0.0,121,24358,87.51489361702127,15.29787234042553,125123,7.64,5.2526564707774295,"[0.0, 0.0, 7.0, 16.0, 16.0]",38.251,120.408,108.857,13241,28672,36061079,13241
5.0,0.0,0.8534031413612565,65.82198952879581,191,34052,False,94671,1531,3,1d3c318f39b840d8b7bcd90839573d74,2020-02-16_23-34-53,1581896093,33.9343581199646,102.76462888717651,1731,ray-apex-default-2-head-c82cca88,10.128.0.47,102.76462888717651,94671,3,8,ab58a230,0,37.18680964457892,15.884372886891402,4.839813545449093,0.0,0.4,0,201728,94671,0.0,0.0,201,24825,93.23043478260868,20.65434782608696,125374,13.28,4.745692783988446,"[0.0, 4.9, 16.0, 16.0, 16.0]",45.429,119.191,99.439,22461,117248,61695071,22461
5.0,0.0,0.8385826771653543,49.25590551181102,254,32487,False,127158,1785,4,1d3c318f39b840d8b7bcd90839573d74,2020-02-16_23-35-28,1581896128,34.211902141571045,136.97653102874756,1731,ray-apex-default-2-head-c82cca88,10.128.0.47,136.97653102874756,127158,4,8,ab58a230,0,38.333578359613526,15.560766713246986,5.019066685712144,0.0,0.4,0,328704,127158,0.0,0.0,274,25285,92.4673913043478,26.756521739130445,125622,13.24,4.726774798951184,"[0.0, 4.9, 16.0, 16.0, 16.0]",45.65,108.273,100.072,31695,203776,87537581,31695
5.0,0.0,0.960431654676259,43.78417266187051,278,31714,False,158872,2063,5,1d3c318f39b840d8b7bcd90839573d74,2020-02-16_23-36-01,1581896161,33.1344518661499,170.11098289489746,1731,ray-apex-default-2-head-c82cca88,10.128.0.47,170.11098289489746,158872,5,8,ab58a230,0,39.127406018699666,15.543088528224482,5.134947503998624,0.0,0.4,0,456704,158872,0.0,0.0,344,25740,95.11818181818181,32.47272727272727,125871,13.24,4.726774798951183,"[0.0, 4.9, 16.0, 16.0, 16.0]",41.657,138.874,100.155,41726,296448,115328614,41726
7.0,0.0,1.1526717557251909,48.66793893129771,262,32516,False,191388,2325,6,1d3c318f39b840d8b7bcd90839573d74,2020-02-16_23-36-35,1581896195,34.149117946624756,204.26010084152222,1731,ray-apex-default-2-head-c82cca88,10.128.0.47,204.26010084152222,191388,6,8,ab58a230,0,39.316399123169816,15.334995650847276,5.177150541031797,0.0,0.4,1,584192,191388,3294.485,4185.549,417,26192,92.40434782608695,38.17173913043477,126121,13.28,4.745692783988446,"[0.0, 4.9, 16.0, 16.0, 16.0]",43.587,117.992,99.417,49351,387072,136496873,49351
5.0,0.0,1.29004329004329,55.93939393939394,231,33280,False,224668,2556,7,1d3c318f39b840d8b7bcd90839573d74,2020-02-16_23-37-09,1581896229,34.29392647743225,238.55402731895447,1731,ray-apex-default-2-head-c82cca88,10.128.0.47,238.55402731895447,224668,7,8,ab58a230,0,39.60125450092968,15.109351080711532,5.235319511114646,0.0,0.4,1,712704,224668,0.0,0.0,489,26626,92.68260869565219,43.026086956521745,126372,13.26,4.736285464369731,"[0.0, 4.9, 16.0, 16.0, 16.0]",43.293,131.724,105.381,58151,478720,161212297,58151
6.0,0.0,1.6308411214953271,59.36915887850467,214,33666,False,258334,2770,8,1d3c318f39b840d8b7bcd90839573d74,2020-02-16_23-37-43,1581896263,34.011473655700684,272.56550097465515,1731,ray-apex-default-2-head-c82cca88,10.128.0.47,272.56550097465515,258334,8,8,ab58a230,0,39.849022355123246,14.952876567034817,5.2803274223823475,0.0,0.4,1,842240,258334,0.0,0.0,562,27077,94.18888888888888,43.99555555555555,126625,13.24,4.726774798951183,"[0.0, 4.9, 16.0, 16.0, 16.0]",43.256,114.185,100.361,69775,564224,193865725,69775
6.0,0.0,1.9723502304147464,58.096774193548384,217,33703,False,292037,2987,9,1d3c318f39b840d8b7bcd90839573d74,2020-02-16_23-38-17,1581896297,34.17817735671997,306.7436783313751,1731,ray-apex-default-2-head-c82cca88,10.128.0.47,306.7436783313751,292037,9,8,ab58a230,0,40.02700491262229,14.768144003843357,5.296523756747796,0.0,0.4,1,972288,292037,0.0,36799.075,636,27506,92.72608695652177,44.22173913043478,126878,13.28,4.745692783988446,"[0.0, 4.9, 16.0, 16.0, 16.0]",44.403,119.626,108.821,79007,653824,219958661,79007
5.0,0.0,2.0697674418604652,60.58139534883721,215,32498,False,324535,3202,10,1d3c318f39b840d8b7bcd90839573d74,2020-02-16_23-38-52,1581896332,34.072617292404175,340.8162956237793,1731,ray-apex-default-2-head-c82cca88,10.128.0.47,340.8162956237793,324535,10,8,ab58a230,0,40.272517634121435,14.662145425679993,5.332963101198728,0.0,0.4,2,1100288,324535,0.0,21267.689,709,27918,93.47555555555557,44.44222222222223,127129,13.26,4.736285464369731,"[0.0, 4.9, 16.0, 16.0, 16.0]",39.818,127.506,106.207,88235,739328,245962273,88235
6.0,0.0,2.248847926267281,61.29032258064516,217,33661,False,358196,3419,11,1d3c318f39b840d8b7bcd90839573d74,2020-02-16_23-39-26,1581896366,34.15049695968628,374.9667925834656,1731,ray-apex-default-2-head-c82cca88,10.128.0.47,374.9667925834656,358196,11,8,ab58a230,0,40.2223449469684,14.506091611451335,5.340515639858281,0.0,0.4,2,1231360,358196,0.0,0.0,783,28333,93.40666666666667,44.86000000000001,127383,13.28,4.745692783988445,"[0.0, 4.9, 16.0, 16.0, 16.0]",45.324,129.739,106.835,95454,824320,266403246,95454
6.0,0.0,2.757425742574257,65.87128712871286,202,33690,False,391886,3621,12,1d3c318f39b840d8b7bcd90839573d74,2020-02-16_23-40-00,1581896400,34.34946608543396,409.31625866889954,1731,ray-apex-default-2-head-c82cca88,10.128.0.47,409.31625866889954,391886,12,8,ab58a230,0,40.37062558177408,14.392803081839949,5.35276318070838,0.0,0.4,2,1359360,391886,0.0,0.0,860,28743,92.27391304347827,45.1695652173913,127635,13.28,4.745692783988445,"[0.0, 4.9, 16.0, 16.0, 16.0]",41.552,119.005,112.99,102669,914432,286841783,102669
6.0,0.0,2.975845410628019,63.710144927536234,207,34494,False,426380,3828,13,1d3c318f39b840d8b7bcd90839573d74,2020-02-16_23-40-35,1581896435,34.45292544364929,443.7691841125488,1731,ray-apex-default-2-head-c82cca88,10.128.0.47,443.7691841125488,426380,13,8,ab58a230,0,40.42526060943337,14.281815108036323,5.352820992176638,0.0,0.4,2,1489408,426380,0.0,7704.254,938,29156,92.55217391304349,45.37608695652175,127889,13.28,4.745692783988445,"[0.0, 4.9, 16.0, 16.0, 16.0]",43.934,133.39,105.663,111485,997376,311887159,111485
6.0,0.0,2.8095238095238093,68.8941798941799,189,34882,False,461262,4017,14,1d3c318f39b840d8b7bcd90839573d74,2020-02-16_23-41-09,1581896469,34.60128140449524,478.37046551704407,1731,ray-apex-default-2-head-c82cca88,10.128.0.47,478.37046551704407,461262,14,8,ab58a230,0,40.46759249715456,14.191178773321417,5.360783651939011,0.0,0.4,3,1619456,461262,6893.679,0.0,1018,29566,93.19130434782609,45.68478260869566,128143,13.28,4.745692783988445,"[0.0, 4.9, 16.0, 16.0, 16.0]",38.283,132.455,106.486,119906,1081856,336056914,119906
7.0,0.0,3.2797927461139897,69.79792746113989,193,34892,False,496154,4210,15,1d3c318f39b840d8b7bcd90839573d74,2020-02-16_23-41-44,1581896504,34.502617597579956,512.873083114624,1731,ray-apex-default-2-head-c82cca88,10.128.0.47,512.873083114624,496154,15,8,ab58a230,0,40.54123557269456,14.105025979256453,5.373604341035436,0.0,0.4,3,1750016,496154,0.0,0.0,1099,29971,94.1288888888889,45.92666666666667,128398,13.28,4.745692783988445,"[0.0, 4.9, 16.0, 16.0, 16.0]",44.014,129.837,105.088,127139,1164800,356659301,127139
7.0,0.0,3.3689839572192515,70.1283422459893,187,34858,False,531012,4397,16,1d3c318f39b840d8b7bcd90839573d74,2020-02-16_23-42-18,1581896538,34.54302191734314,547.4161050319672,1731,ray-apex-default-2-head-c82cca88,10.128.0.47,547.4161050319672,531012,16,8,ab58a230,0,40.60064626427363,14.019768389279948,5.378525098785545,0.0,0.4,3,1879552,531012,5032.309,6441.356,1177,30371,92.8478260869565,46.11739130434782,128651,13.26,4.736285464369731,"[0.0, 4.9, 16.0, 16.0, 16.0]",39.872,122.875,110.704,134751,1249792,378516269,134751
6.0,0.0,3.0894736842105264,69.87894736842105,190,34894,False,565906,4587,17,1d3c318f39b840d8b7bcd90839573d74,2020-02-16_23-42-53,1581896573,34.443015575408936,581.8591206073761,1731,ray-apex-default-2-head-c82cca88,10.128.0.47,581.8591206073761,565906,17,8,ab58a230,0,40.61632543253919,13.952151839949693,5.375710573406351,0.0,0.4,4,2010112,565906,4153.115,5315.988,1255,30781,92.68478260869566,46.391304347826086,128906,13.28,4.745692783988446,"[0.0, 4.9, 16.0, 16.0, 16.0]",62.055,123.608,109.6,142376,1338368,400330568,142376
6.0,0.0,3.021505376344086,70.26344086021506,186,34854,False,600760,4773,18,1d3c318f39b840d8b7bcd90839573d74,2020-02-16_23-43-27,1581896607,34.209285736083984,616.0684063434601,1731,ray-apex-default-2-head-c82cca88,10.128.0.47,616.0684063434601,600760,18,8,ab58a230,0,40.652687697650194,13.885285001388365,5.3798248076844875,0.0,0.4,4,2141184,600760,0.0,0.0,1333,31180,93.95111111111109,46.64666666666666,129162,13.28,4.745692783988446,"[0.0, 4.9, 16.0, 16.0, 16.0]",45.648,117.447,110.302,148384,1423872,417602968,148384
6.0,0.0,3.2903225806451615,69.53763440860214,186,33675,False,634435,4959,19,1d3c318f39b840d8b7bcd90839573d74,2020-02-16_23-44-01,1581896641,33.92902612686157,649.9974324703217,1731,ray-apex-default-2-head-c82cca88,10.128.0.47,649.9974324703217,634435,19,8,ab58a230,0,40.714432439192656,13.841542133485005,5.395394293861132,0.0,0.4,4,2269184,634435,4930.647,6311.228,1410,31580,93.58888888888889,46.72666666666666,129412,13.28,4.745692783988446,"[0.0, 4.9, 16.0, 16.0, 16.0]",42.639,134.269,113.791,160429,1508864,452244347,160429
7.0,0.0,3.205263157894737,69.7,190,34468,False,668903,5149,20,1d3c318f39b840d8b7bcd90839573d74,2020-02-16_23-44-35,1581896675,34.12926721572876,684.1266996860504,1731,ray-apex-default-2-head-c82cca88,10.128.0.47,684.1266996860504,668903,20,8,ab58a230,0,40.71023776517315,13.800564386171898,5.397603993110895,0.0,0.4,4,2400256,668903,0.0,0.0,1489,31979,93.61777777777776,46.93333333333332,129668,13.26,4.736285464369731,"[0.0, 4.9, 16.0, 16.0, 16.0]",45.186,119.912,109.24,170847,1591296,482096261,170847
6.0,0.0,3.520408163265306,68.60204081632654,196,34892,False,703795,5345,21,1d3c318f39b840d8b7bcd90839573d74,2020-02-16_23-45-09,1581896709,34.48666739463806,718.6133670806885,1731,ray-apex-default-2-head-c82cca88,10.128.0.47,718.6133670806885,703795,21,8,ab58a230,0,40.74962752480221,13.756728462160195,5.403234850069926,0.0,0.4,5,2530304,703795,0.0,0.0,1566,32383,92.66521739130435,47.11086956521739,129922,13.28,4.745692783988446,"[0.0, 4.9, 16.0, 16.0, 16.0]",43.675,132.848,103.889,179264,1673728,506363784,179264
7.0,0.0,3.6179775280898876,71.38764044943821,178,34874,False,738669,5523,22,1d3c318f39b840d8b7bcd90839573d74,2020-02-16_23-45-44,1581896744,34.06588172912598,752.6792488098145,1731,ray-apex-default-2-head-c82cca88,10.128.0.47,752.6792488098145,738669,22,8,ab58a230,0,40.757945864261686,13.709664535037657,5.409279505502021,0.0,0.4,5,2660352,738669,0.0,0.0,1646,32780,93.67555555555555,47.28222222222223,130176,13.28,4.745692783988446,"[0.0, 4.9, 16.0, 16.0, 16.0]",41.962,133.042,110.426,188083,1757184,531821621,188083
7.0,0.0,3.43979057591623,70.81151832460733,191,34853,False,773522,5714,23,1d3c318f39b840d8b7bcd90839573d74,2020-02-16_23-46-18,1581896778,34.182316064834595,786.861564874649,1731,ray-apex-default-2-head-c82cca88,10.128.0.47,786.861564874649,773522,23,8,ab58a230,0,40.73851107161702,13.680661768317853,5.406917655689743,0.0,0.4,5,2791424,773522,0.0,0.0,1728,33174,93.77111111111111,47.53555555555555,130431,13.24,4.726774798951183,"[0.0, 4.9, 16.0, 16.0, 16.0]",49.9,131.495,106.359,198900,1837056,563069460,198900
7.0,0.0,3.545945945945946,71.0972972972973,185,35281,False,808803,5899,24,1d3c318f39b840d8b7bcd90839573d74,2020-02-16_23-46-52,1581896812,34.007485151290894,820.8690500259399,1731,ray-apex-default-2-head-c82cca88,10.128.0.47,820.8690500259399,808803,24,8,ab58a230,0,40.759678769299086,13.638356645941926,5.4117926554231675,0.0,0.4,5,2920448,808803,4992.999,0.0,1807,33579,94.08000000000001,47.726666666666674,130684,13.26,4.736285464369731,"[0.0, 4.9, 16.0, 16.0, 16.0]",43.096,125.883,113.654,205716,1923584,582689016,205716
7.0,0.0,3.4171122994652405,71.36898395721926,187,34868,False,843671,6086,25,1d3c318f39b840d8b7bcd90839573d74,2020-02-16_23-47-26,1581896846,34.0618634223938,854.9309134483337,1731,ray-apex-default-2-head-c82cca88,10.128.0.47,854.9309134483337,843671,25,8,ab58a230,0,40.74206032798965,13.615281779447754,5.412626678922087,0.0,0.4,6,3049472,843671,0.0,0.0,1888,33972,93.96222222222222,47.95111111111112,130936,13.26,4.736285464369731,"[0.0, 4.9, 16.0, 16.0, 16.0]",41.998,131.024,107.645,211723,2007552,599865021,211723
6.0,0.0,3.606382978723404,69.77659574468085,188,34874,False,878545,6274,26,1d3c318f39b840d8b7bcd90839573d74,2020-02-16_23-48-00,1581896880,34.29870367050171,889.2296171188354,1731,ray-apex-default-2-head-c82cca88,10.128.0.47,889.2296171188354,878545,26,8,ab58a230,0,40.773948426747204,13.575356815422799,5.411039926895885,0.0,0.4,6,3180032,878545,5966.463,7637.072,1964,34370,93.25217391304349,48.02391304347826,131191,13.26,4.736285464369731,"[0.0, 4.9, 16.0, 16.0, 16.0]",43.022,130.681,108.736,219741,2088448,623005215,219741
7.0,0.0,3.4497354497354498,70.3862433862434,189,34876,False,913421,6463,27,1d3c318f39b840d8b7bcd90839573d74,2020-02-16_23-48-34,1581896914,34.14108324050903,923.3707003593445,1731,ray-apex-default-2-head-c82cca88,10.128.0.47,923.3707003593445,913421,27,8,ab58a230,0,40.79886860525695,13.538470756513215,5.412445185529381,0.0,0.4,6,3310592,913421,0.0,0.0,2041,34756,93.79555555555554,48.20666666666668,131446,13.26,4.736285464369731,"[0.0, 4.9, 16.0, 16.0, 16.0]",39.863,138.514,109.36,229360,2166784,650618412,229360
6.0,0.0,3.427807486631016,70.20320855614973,187,34480,False,947901,6650,28,1d3c318f39b840d8b7bcd90839573d74,2020-02-16_23-49-09,1581896949,34.35817575454712,957.7288761138916,1731,ray-apex-default-2-head-c82cca88,10.128.0.47,957.7288761138916,947901,28,8,ab58a230,0,40.76723200613963,13.52296560169109,5.420356752895135,0.0,0.4,6,3440128,947901,0.0,32425.126,2122,35133,93.1782608695652,48.31304347826088,131698,13.26,4.736285464369731,"[0.0, 4.9, 16.0, 16.0, 16.0]",47.704,135.663,104.431,238589,2248192,677124475,238589
7.0,0.0,3.507853403141361,69.39267015706807,191,34478,False,982379,6841,29,1d3c318f39b840d8b7bcd90839573d74,2020-02-16_23-49-43,1581896983,34.26598405838013,991.9948601722717,1731,ray-apex-default-2-head-c82cca88,10.128.0.47,991.9948601722717,982379,29,8,ab58a230,0,40.77195927244391,13.501148442364391,5.422269496295384,0.0,0.4,7,3572736,982379,0.0,0.0,2201,35513,92.8891304347826,48.68043478260871,131958,13.26,4.736285464369731,"[0.0, 4.9, 16.0, 16.0, 16.0]",42.838,134.507,113.969,247402,2333184,702733678,247402
7.0,0.0,3.696335078534031,69.42408376963351,191,34871,False,1017250,7032,30,1d3c318f39b840d8b7bcd90839573d74,2020-02-16_23-50-17,1581897017,33.997960567474365,1025.992820739746,1731,ray-apex-default-2-head-c82cca88,10.128.0.47,1025.992820739746,1017250,30,8,ab58a230,0,40.783340895582434,13.481220518090803,5.421034844732381,0.0,0.4,7,3704320,1017250,0.0,0.0,2277,35901,93.88888888888889,48.962222222222216,132215,13.26,4.736285464369731,"[0.0, 4.9, 16.0, 16.0, 16.0]",42.56,125.615,99.51,259429,2416128,737899919,259429
7.0,0.0,3.675531914893617,70.33510638297872,188,34859,False,1052109,7220,31,1d3c318f39b840d8b7bcd90839573d74,2020-02-16_23-50-51,1581897051,34.05252289772034,1060.0453436374664,1731,ray-apex-default-2-head-c82cca88,10.128.0.47,1060.0453436374664,1052109,31,8,ab58a230,0,40.77749459211291,13.456783884570068,5.420447141090716,0.0,0.4,7,3835904,1052109,0.0,0.0,2356,36293,94.09999999999998,49.08666666666668,132472,13.26,4.736285464369731,"[0.0, 4.9, 16.0, 16.0, 16.0]",42.847,128.34,100.716,267452,2499072,761307544,267452
6.0,0.0,3.543010752688172,71.30645161290323,186,34871,False,1086980,7406,32,1d3c318f39b840d8b7bcd90839573d74,2020-02-16_23-51-25,1581897085,34.13691067695618,1094.1822543144226,1731,ray-apex-default-2-head-c82cca88,10.128.0.47,1094.1822543144226,1086980,32,8,ab58a230,0,40.75710748039813,13.43397975371097,5.417661226481043,0.0,0.4,7,3966976,1086980,0.0,0.0,2432,36684,92.84565217391304,49.147826086956506,132728,13.24,4.726774798951183,"[0.0, 4.9, 16.0, 16.0, 16.0]",44.917,123.996,115.268,276683,2582528,788014809,276683
6.0,0.0,3.671875,69.78125,192,34841,False,1121821,7598,33,1d3c318f39b840d8b7bcd90839573d74,2020-02-16_23-51-59,1581897119,34.11932611465454,1128.3015804290771,1731,ray-apex-default-2-head-c82cca88,10.128.0.47,1128.3015804290771,1121821,33,8,ab58a230,0,40.77887936446066,13.41929507509537,5.421088595811594,0.0,0.4,8,4097536,1121821,0.0,0.0,2511,37086,94.17777777777778,49.30222222222223,132982,13.28,4.745692783988446,"[0.0, 4.9, 16.0, 16.0, 16.0]",37.694,135.924,102.113,286691,2669568,817253201,286691
7.0,0.0,3.7795698924731185,70.59139784946237,186,34471,False,1156292,7784,34,1d3c318f39b840d8b7bcd90839573d74,2020-02-16_23-52-33,1581897153,34.11625266075134,1162.4178330898285,1731,ray-apex-default-2-head-c82cca88,10.128.0.47,1162.4178330898285,1156292,34,8,ab58a230,0,40.80426593320131,13.402879621796853,5.421724695473352,0.0,0.4,8,4228608,1156292,0.0,0.0,2588,37474,93.76444444444445,49.553333333333335,133238,13.28,4.745692783988446,"[0.0, 4.9, 16.0, 16.0, 16.0]",39.834,133.173,118.843,293906,2750464,837914506,293906
6.0,0.0,3.4759358288770055,69.40106951871658,187,34871,False,1191163,7971,35,1d3c318f39b840d8b7bcd90839573d74,2020-02-16_23-53-08,1581897188,34.05453085899353,1196.472363948822,1731,ray-apex-default-2-head-c82cca88,10.128.0.47,1196.472363948822,1191163,35,8,ab58a230,0,40.75595399966582,13.386324396546346,5.420508684460083,0.0,0.4,8,4359680,1191163,0.0,0.0,2668,37858,93.11086956521739,49.76739130434781,133495,13.24,4.726774798951183,"[0.0, 4.9, 16.0, 16.0, 16.0]",46.404,132.21,121.098,303123,2833920,864700761,303123
7.0,0.0,3.8263157894736843,69.52631578947368,190,34859,False,1226022,8161,36,1d3c318f39b840d8b7bcd90839573d74,2020-02-16_23-53-42,1581897222,33.999900102615356,1230.4722640514374,1731,ray-apex-default-2-head-c82cca88,10.128.0.47,1230.4722640514374,1226022,36,8,ab58a230,0,40.76593573853045,13.367457282170802,5.420763343214282,0.0,0.4,8,4489728,1226022,0.0,0.0,2744,38256,94.26222222222222,50.033333333333324,133749,13.28,4.745692783988446,"[0.0, 4.9, 16.0, 16.0, 16.0]",45.988,129.354,109.147,316343,2914304,903189297,316343
7.0,0.0,3.682795698924731,70.1236559139785,186,34066,False,1260088,8347,37,1d3c318f39b840d8b7bcd90839573d74,2020-02-16_23-54-16,1581897256,33.93432807922363,1264.406592130661,1731,ray-apex-default-2-head-c82cca88,10.128.0.47,1264.406592130661,1260088,37,8,ab58a230,0,40.78226354403683,13.362177196030022,5.424892904154918,0.0,0.4,9,4616704,1260088,0.0,0.0,2820,38641,93.89111111111112,50.20888888888889,133997,13.24,4.726774798951183,"[0.0, 4.9, 16.0, 16.0, 16.0]",44.044,139.201,114.258,324774,2995712,927776182,324774
7.0,0.0,3.7074468085106385,68.19148936170212,188,34055,False,1294143,8535,38,1d3c318f39b840d8b7bcd90839573d74,2020-02-16_23-54-49,1581897289,33.63965082168579,1298.0462429523468,1731,ray-apex-default-2-head-c82cca88,10.128.0.47,1298.0462429523468,1294143,38,8,ab58a230,0,40.79392685967537,13.357730489177825,5.4268584499362635,0.0,0.4,9,4746752,1294143,0.0,0.0,2893,39039,93.71555555555555,50.46666666666665,134251,13.26,4.736285464369732,"[0.0, 4.9, 16.0, 16.0, 16.0]",42.625,123.787,108.192,330383,3083776,944165161,330383
8.0,0.0,3.5904255319148937,69.73404255319149,188,33676,False,1327819,8723,39,1d3c318f39b840d8b7bcd90839573d74,2020-02-16_23-55-23,1581897323,34.11878514289856,1332.1650280952454,1731,ray-apex-default-2-head-c82cca88,10.128.0.47,1332.1650280952454,1327819,39,8,ab58a230,0,40.820356427014566,13.341019916359476,5.426690743632509,0.0,0.4,9,4877824,1327819,0.0,0.0,2970,39423,93.42888888888889,50.61777777777779,134507,13.26,4.736285464369731,"[0.0, 4.9, 16.0, 16.0, 16.0]",43.145,131.689,108.624,337601,3165184,964978583,337601
