episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/min_exploration,info/max_exploration,info/num_target_updates,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/replay_time_ms,info/grad_time_ms,info/update_time_ms,info/opt_peak_throughput,info/opt_samples,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,info/learner/default_policy/cur_lr,info/learner/default_policy/mean_td_error,info/learner/default_policy/q_loss,info/learner/default_policy/combined_loss,info/learner/default_policy/hand_inference_loss
0.0,0.0,0.0,19.589390962671906,509,10000,False,10000,509,1,ed11392d778b420e824aebfd8e4cd3c2,2020-03-13_21-04-18,1584129858,90.42581820487976,90.42581820487976,2284,carl-1070,192.168.0.3,90.42581820487976,10000,1,0,98097f46,0_aux_loss_formula=0.01,2.732506469458115,0.4725831120264906,2.0907648274155903,1.0,1.0,19,69824,10000,25.305,6.529,12.969,0.003,2467.501,32.0,92.65583333333333,35.579166666666666,0.37616666666666665,0.303145022178413,2.499999936844688e-05,1.6935096,1.0223789,1.0443304,3.2175157
4.0,0.0,0.6822916666666666,52.052083333333336,192,10002,False,20002,701,2,ed11392d778b420e824aebfd8e4cd3c2,2020-03-13_21-05-59,1584129959,101.12376880645752,191.54958701133728,2284,carl-1070,192.168.0.3,191.54958701133728,20002,2,0,98097f46,0_aux_loss_formula=0.01,2.942720067795427,0.4419402624265822,2.1457208295732717,0.020000000000000018,0.020000000000000018,39,147616,20002,25.429,5.033,10.876,0.002,2942.255,32.0,93.2218045112782,35.931578947368415,0.37127819548872176,0.3033282442182342,2.499999936844688e-05,1.7130115,0.4913693,0.5178188,3.13632
5.0,0.0,0.7350427350427351,42.8974358974359,234,10002,False,30004,935,3,ed11392d778b420e824aebfd8e4cd3c2,2020-03-13_21-07-40,1584130060,100.85247611999512,292.4020631313324,2284,carl-1070,192.168.0.3,292.4020631313324,30004,3,0,98097f46,0_aux_loss_formula=0.01,2.9982041673830624,0.4335431552384574,2.15737937577913,0.020000000000000018,0.020000000000000018,59,225280,30004,26.638,4.723,9.652,0.002,3315.401,32.0,92.98333333333335,36.33939393939394,0.3603787878787879,0.3021556745373896,2.499999936844688e-05,1.4721941,0.40347177,0.43087193,3.1434884
3.0,0.0,0.7738693467336684,50.21105527638191,199,10000,False,40004,1134,4,ed11392d778b420e824aebfd8e4cd3c2,2020-03-13_21-09-18,1584130158,98.49675107002258,390.898814201355,2284,carl-1070,192.168.0.3,390.898814201355,40004,4,0,98097f46,0_aux_loss_formula=0.01,3.0048424852916993,0.4222309010144687,2.1509626547686227,0.020000000000000018,0.020000000000000018,79,303168,40004,26.479,6.387,13.349,0.011,2397.25,32.0,92.64186046511627,36.63875968992249,0.346201550387597,0.3021832651361461,2.499999936844688e-05,1.0580517,0.30055004,0.32842693,3.0882397
4.0,0.0,1.4720496894409938,61.81987577639752,161,10001,False,50005,1295,5,ed11392d778b420e824aebfd8e4cd3c2,2020-03-13_21-10-59,1584130259,100.85964250564575,491.75845670700073,2284,carl-1070,192.168.0.3,491.75845670700073,50005,5,0,98097f46,0_aux_loss_formula=0.01,3.0243321909072365,0.4163407405056984,2.156189229879356,0.020000000000000018,0.020000000000000018,99,380992,50005,23.151,5.112,12.409,0.004,2578.75,32.0,93.08560606060605,37.08712121212121,0.3584848484848485,0.302217281240199,2.499999936844688e-05,1.1291976,0.31835616,0.34613404,3.0961425
5.0,0.0,2.1780821917808217,68.82876712328768,146,10001,False,60006,1441,6,ed11392d778b420e824aebfd8e4cd3c2,2020-03-13_21-12-39,1584130359,100.54000973701477,592.2984664440155,2284,carl-1070,192.168.0.3,592.2984664440155,60006,6,0,98097f46,0_aux_loss_formula=0.01,3.0371140130578107,0.41119138154759444,2.153361596538313,0.020000000000000018,0.020000000000000018,119,458784,60006,26.008,4.85,9.91,0.002,3229.174,32.0,92.93893129770993,37.41297709923664,0.37496183206106876,0.3021183300162905,2.499999936844688e-05,1.3394881,0.36566114,0.39136946,2.9364917
5.0,0.0,2.592857142857143,71.15714285714286,140,10002,False,70008,1581,7,ed11392d778b420e824aebfd8e4cd3c2,2020-03-13_21-14-22,1584130462,102.40230441093445,694.70077085495,2284,carl-1070,192.168.0.3,694.70077085495,70008,7,0,98097f46,0_aux_loss_formula=0.01,3.051966168243926,0.40946318436736867,2.156898507879563,0.020000000000000018,0.020000000000000018,139,536448,70008,24.953,5.025,11.564,0.002,2767.267,32.0,92.78582089552238,37.52089552238805,0.35447761194029853,0.302146855667449,2.499999936844688e-05,1.0957235,0.32892495,0.35359523,2.7959526
5.0,0.0,2.9568345323741005,71.87769784172662,139,10003,False,80011,1720,8,ed11392d778b420e824aebfd8e4cd3c2,2020-03-13_21-16-04,1584130564,102.23319792747498,796.9339687824249,2284,carl-1070,192.168.0.3,796.9339687824249,80011,8,0,98097f46,0_aux_loss_formula=0.01,3.0596793938195606,0.4069546420209327,2.1616565863102712,0.020000000000000018,0.020000000000000018,159,614144,80011,28.41,5.343,10.815,0.002,2958.755,32.0,92.58345864661653,37.501503759398496,0.3609774436090226,0.30223692548275577,2.499999936844688e-05,1.1945736,0.32559744,0.3497568,2.7415338
6.0,0.0,3.3309859154929575,70.57042253521126,142,10001,False,90012,1862,9,ed11392d778b420e824aebfd8e4cd3c2,2020-03-13_21-17-46,1584130666,101.92260503768921,898.8565738201141,2284,carl-1070,192.168.0.3,898.8565738201141,90012,9,0,98097f46,0_aux_loss_formula=0.01,3.069525667348028,0.4058344679670406,2.1630925107502317,0.020000000000000018,0.020000000000000018,179,692160,90012,23.887,6.247,10.724,0.003,2983.889,32.0,92.91127819548873,37.5,0.3563909774436091,0.30213224040880915,2.499999936844688e-05,1.1686703,0.23211552,0.25797805,2.8183692
6.0,0.0,3.4857142857142858,71.55,140,10001,False,100013,2002,10,ed11392d778b420e824aebfd8e4cd3c2,2020-03-13_21-19-31,1584130771,105.074392080307,1003.9309659004211,2284,carl-1070,192.168.0.3,1003.9309659004211,100013,10,0,98097f46,0_aux_loss_formula=0.01,3.0875491737426666,0.4043991304894917,2.1703441109400745,0.020000000000000018,0.020000000000000018,199,770144,100013,21.006,5.025,10.25,0.002,3122.09,32.0,93.25808823529412,37.658088235294116,0.35213235294117645,0.3025586713246166,2.499999936844688e-05,1.1458786,0.22500947,0.24848501,2.572563
6.0,0.0,3.3333333333333335,70.98581560283688,141,10001,False,110014,2143,11,ed11392d778b420e824aebfd8e4cd3c2,2020-03-13_21-21-25,1584130885,113.30296397209167,1117.2339298725128,2284,carl-1070,192.168.0.3,1117.2339298725128,110014,11,0,98097f46,0_aux_loss_formula=0.01,3.122299927470143,0.4070540047811845,2.198693093884441,0.020000000000000018,0.020000000000000018,218,848384,110014,30.717,6.861,14.503,0.003,2206.483,32.0,93.52721088435374,37.74081632653061,0.348843537414966,0.29952256900788904,2.499999936844688e-05,1.1090894,0.2069891,0.23157866,2.6659458
6.0,0.0,3.7253521126760565,70.30281690140845,142,10003,False,120017,2285,12,ed11392d778b420e824aebfd8e4cd3c2,2020-03-13_21-23-13,1584130993,108.79075145721436,1226.0246813297272,2284,carl-1070,192.168.0.3,1226.0246813297272,120017,12,0,98097f46,0_aux_loss_formula=0.01,3.1429441060150696,0.40693418201006615,2.2076578749152755,0.020000000000000018,0.020000000000000018,238,926848,120017,29.967,6.856,12.259,0.003,2610.27,32.0,93.38652482269504,35.60496453900709,0.3668085106382979,0.27836704661836004,2.499999936844688e-05,1.2395422,0.21657725,0.24028584,2.587437
6.0,0.0,3.4791666666666665,69.70138888888889,144,10001,False,130018,2429,13,ed11392d778b420e824aebfd8e4cd3c2,2020-03-13_21-25-19,1584131119,125.43810057640076,1351.462781906128,2284,carl-1070,192.168.0.3,1351.462781906128,130018,13,0,98097f46,0_aux_loss_formula=0.01,3.1957449356099987,0.4128914605091235,2.248230839143837,0.020000000000000018,0.020000000000000018,258,1005184,130018,36.652,11.143,10.385,0.002,3081.505,32.0,96.35875,36.868125,0.3435,0.27402430384425824,2.499999936844688e-05,1.2903738,0.2301847,0.25380248,2.5919623
6.0,0.0,3.3055555555555554,69.11111111111111,144,10000,False,140018,2573,14,ed11392d778b420e824aebfd8e4cd3c2,2020-03-13_21-27-25,1584131245,126.37501788139343,1477.8377997875214,2284,carl-1070,192.168.0.3,1477.8377997875214,140018,14,0,98097f46,0_aux_loss_formula=0.01,3.239828565852833,0.4188192598878749,2.2895144526757645,0.020000000000000018,0.020000000000000018,278,1083264,140018,25.609,6.386,12.26,0.002,2610.062,32.0,97.26812500000001,39.031875,0.31675,0.27416599926071955,2.499999936844688e-05,1.3375216,0.24497473,0.26956856,2.704357
7.0,0.0,3.2635135135135136,67.64189189189189,148,10003,False,150021,2721,15,ed11392d778b420e824aebfd8e4cd3c2,2020-03-13_21-29-32,1584131372,126.40941452980042,1604.2472143173218,2284,carl-1070,192.168.0.3,1604.2472143173218,150021,15,0,98097f46,0_aux_loss_formula=0.01,3.2779415304155033,0.4239756630730815,2.3250482972711946,0.020000000000000018,0.020000000000000018,298,1161440,150021,22.706,5.008,11.426,0.002,2800.719,32.0,97.23416149068322,40.96708074534162,0.3282608695652174,0.271565407185867,2.499999936844688e-05,1.2513564,0.22742985,0.2514078,2.625224
