episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/min_exploration,info/max_exploration,info/num_target_updates,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/replay_time_ms,info/grad_time_ms,info/update_time_ms,info/opt_peak_throughput,info/opt_samples,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,perf/gpu_util_percent1,perf/vram_util_percent1,perf/gpu_util_percent2,perf/vram_util_percent2,perf/gpu_util_percent3,perf/vram_util_percent3,info/learner/default_policy/cur_lr,info/learner/default_policy/mean_td_error,info/learner/default_policy/q_loss,info/learner/default_policy/combined_loss,info/learner/default_policy/hand_inference_loss
0.0,0.0,0.0,19.110898661567877,523,10000,False,10000,523,1,e40c74e9664742bfb9f2357ad02f98e2,2020-02-06_13-04-59,1580990699,86.53183007240295,86.53183007240295,28688,diufpc29,134.21.215.107,86.53183007240295,10000,1,0,af75cdbf,1_custom_model=Hanabi_HandInference,2.5763561705597313,0.4294114749653728,1.8087161964819174,1.0,1.0,19,70112,10000,19.226,4.253,9.608,0.004,3330.647,32.0,48.459130434782615,74.40347826086958,0.5053043478260869,0.981766662560059,0.0,0.014164305949008497,0.0,0.014164305949008497,0.5634782608695652,0.4108023583971039,2.499999936844688e-05,1.7484984,1.0106602,4.9574995,4.480008
4.0,0.0,0.391812865497076,29.230994152046783,342,10001,False,20001,865,2,e40c74e9664742bfb9f2357ad02f98e2,2020-02-06_13-06-29,1580990789,89.88182735443115,176.4136574268341,28688,diufpc29,134.21.215.107,176.4136574268341,20001,2,0,af75cdbf,1_custom_model=Hanabi_HandInference,2.615098993768099,0.40328384071432105,1.8070776323710822,0.020000000000000018,0.020000000000000018,39,146400,20001,21.727,4.429,10.521,0.004,3041.479,32.0,48.81428571428571,75.04705882352943,0.5461344537815127,0.9817666625600591,0.0,0.014164305949008494,0.0,0.014164305949008494,0.5680672268907563,0.4108880403990639,2.499999936844688e-05,1.4004495,0.5893621,4.3653455,4.073329
5.0,0.0,1.528169014084507,70.00704225352112,142,10001,False,30002,1007,3,e40c74e9664742bfb9f2357ad02f98e2,2020-02-06_13-08-01,1580990881,91.96297550201416,268.37663292884827,28688,diufpc29,134.21.215.107,268.37663292884827,30002,3,0,af75cdbf,1_custom_model=Hanabi_HandInference,2.6564730220434383,0.37685867183201943,1.8013428745449027,0.020000000000000018,0.020000000000000018,59,224928,30002,20.537,5.004,10.625,0.004,3011.763,32.0,49.0694214876033,75.73719008264462,0.562892561983471,0.9817666625600588,0.0,0.014164305949008499,0.0,0.014164305949008499,0.567107438016529,0.4108880403990638,2.499999936844688e-05,1.651264,0.6750689,4.291008,3.9514046
5.0,0.0,2.3741007194244603,72.30935251798562,139,10003,False,40005,1146,4,e40c74e9664742bfb9f2357ad02f98e2,2020-02-06_13-09-34,1580990974,93.03725242614746,361.4138853549957,28688,diufpc29,134.21.215.107,361.4138853549957,40005,4,0,af75cdbf,1_custom_model=Hanabi_HandInference,2.6919920605563634,0.3639170860647694,1.7984063591547461,0.020000000000000018,0.020000000000000018,79,303328,40005,21.185,5.064,11.56,0.005,2768.181,32.0,48.886065573770495,76.4704918032787,0.5304098360655738,0.981766662560059,0.0,0.014164305949008497,0.0,0.014164305949008497,0.5566393442622952,0.41088804039906385,2.499999936844688e-05,1.760989,0.65434504,4.189679,3.8564742
6.0,0.0,2.884892086330935,71.64748201438849,139,10003,False,50008,1285,5,e40c74e9664742bfb9f2357ad02f98e2,2020-02-06_13-11-07,1580991067,93.29026484489441,454.70415019989014,28688,diufpc29,134.21.215.107,454.70415019989014,50008,5,0,af75cdbf,1_custom_model=Hanabi_HandInference,2.714876264588771,0.3577618706486638,1.8018745741042896,0.020000000000000018,0.020000000000000018,99,381440,50008,19.82,4.721,10.038,0.004,3187.858,32.0,48.99512195121951,76.96097560975612,0.5272357723577236,0.981766662560059,0.0,0.014164305949008497,0.0,0.014164305949008497,0.541951219512195,0.41088804039906385,2.499999936844688e-05,1.629145,0.6169432,3.9775162,3.6548057
7.0,0.0,3.048611111111111,69.76388888888889,144,10002,False,60010,1429,6,e40c74e9664742bfb9f2357ad02f98e2,2020-02-06_13-12-41,1580991161,94.02452278137207,548.7286729812622,28688,diufpc29,134.21.215.107,548.7286729812622,60010,6,0,af75cdbf,1_custom_model=Hanabi_HandInference,2.7339814103114097,0.35383382156458015,1.8019633581253218,0.020000000000000018,0.020000000000000018,119,459488,60010,22.153,5.577,10.311,0.004,3103.408,32.0,48.96290322580645,77.36451612903227,0.5208064516129032,0.981766662560059,0.0,0.014164305949008495,0.0,0.014164305949008495,0.5425806451612903,0.41088804039906385,2.499999936844688e-05,1.3621647,0.5164835,3.8099735,3.5352826
7.0,0.0,3.174825174825175,70.0909090909091,143,10003,False,70013,1572,7,e40c74e9664742bfb9f2357ad02f98e2,2020-02-06_13-14-15,1580991255,93.33108711242676,642.059760093689,28688,diufpc29,134.21.215.107,642.059760093689,70013,7,0,af75cdbf,1_custom_model=Hanabi_HandInference,2.740447355753345,0.3508830408627271,1.8040813489794318,0.020000000000000018,0.020000000000000018,139,537504,70013,24.583,5.873,11.703,0.004,2734.288,32.0,49.50573770491803,77.68688524590164,0.5897540983606557,0.981766662560059,0.0,0.014164305949008497,0.0,0.014164305949008497,0.5368032786885245,0.41088804039906385,2.499999936844688e-05,1.4700596,0.4705868,3.8807316,3.6338692
6.0,0.0,3.295774647887324,70.15492957746478,142,10002,False,80015,1714,8,e40c74e9664742bfb9f2357ad02f98e2,2020-02-06_13-15-49,1580991349,93.98512411117554,736.0448842048645,28688,diufpc29,134.21.215.107,736.0448842048645,80015,8,0,af75cdbf,1_custom_model=Hanabi_HandInference,2.751792763911068,0.34835167895564867,1.8042934615898751,0.020000000000000018,0.020000000000000018,159,615680,80015,20.404,7.238,10.869,0.004,2944.191,32.0,48.971774193548384,77.98225806451612,0.489758064516129,0.981766662560059,0.0,0.014164305949008495,0.0,0.014164305949008495,0.5349999999999999,0.41088804039906385,2.499999936844688e-05,1.3935156,0.44792938,3.9756155,3.7441244
6.0,0.0,3.3513513513513513,67.86486486486487,148,10004,False,90019,1862,9,e40c74e9664742bfb9f2357ad02f98e2,2020-02-06_13-17-22,1580991442,93.79530692100525,829.8401911258698,28688,diufpc29,134.21.215.107,829.8401911258698,90019,9,0,af75cdbf,1_custom_model=Hanabi_HandInference,2.760982494359121,0.3465951133271991,1.8040796180771626,0.020000000000000018,0.020000000000000018,179,693568,90019,25.141,5.863,14.098,0.006,2269.756,32.0,48.99593495934958,78.0130081300813,0.5221138211382114,0.981766662560059,0.0,0.014164305949008497,0.0,0.014164305949008497,0.5412195121951219,0.41088804039906385,2.499999936844688e-05,1.2058127,0.3555436,3.8744395,3.6893342
7.0,0.0,3.3767123287671232,68.48630136986301,146,10003,False,100022,2008,10,e40c74e9664742bfb9f2357ad02f98e2,2020-02-06_13-18-57,1580991537,94.52954268455505,924.3697338104248,28688,diufpc29,134.21.215.107,924.3697338104248,100022,10,0,af75cdbf,1_custom_model=Hanabi_HandInference,2.769357998937031,0.3455871964889166,1.8049976338656217,0.020000000000000018,0.020000000000000018,198,771712,100022,19.802,4.489,10.593,0.004,3020.989,32.0,49.059677419354834,78.03387096774193,0.4939516129032258,0.981766662560059,0.0,0.014164305949008495,0.0,0.014164305949008495,0.5516129032258064,0.41088804039906385,2.499999936844688e-05,1.3628299,0.34116873,4.022592,3.8486867
