episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/min_exploration,info/max_exploration,info/num_target_updates,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/replay_time_ms,info/grad_time_ms,info/update_time_ms,info/opt_peak_throughput,info/opt_samples,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,perf/gpu_util_percent1,perf/vram_util_percent1,perf/gpu_util_percent2,perf/vram_util_percent2,perf/gpu_util_percent3,perf/vram_util_percent3,info/learner/default_policy/cur_lr,info/learner/default_policy/mean_td_error,info/learner/default_policy/q_loss,info/learner/default_policy/combined_loss,info/learner/default_policy/hand_inference_loss
0.0,0.0,0.0,20.114688128772634,497,10002,False,10002,497,1,fbb3581637904fe3b44bbef2a13a54e3,2020-02-06_13-04-58,1580990698,85.90040445327759,85.90040445327759,28680,diufpc29,134.21.215.107,85.90040445327759,10002,1,0,af75cdbe,0_custom_model=Hanabi_HandInference_independent_loss,2.557714891366999,0.4033159070698327,1.7914667668972588,1.0,1.0,19,70272,10002,18.993,4.37,10.197,0.004,3138.054,32.0,48.45350877192983,74.40350877192984,0.5253508771929823,0.981766662560059,0.0,0.014164305949008497,0.0,0.014164305949008497,0.5591228070175439,0.41080160680059546,2.499999936844688e-05,1.6496315,0.90635014,3.6595006,3.148727
6.0,0.0,0.3647959183673469,25.507653061224488,392,10003,False,20005,889,2,fbb3581637904fe3b44bbef2a13a54e3,2020-02-06_13-06-29,1580990789,91.09114098548889,176.99154543876648,28680,diufpc29,134.21.215.107,176.99154543876648,20005,2,0,af75cdbe,0_custom_model=Hanabi_HandInference_independent_loss,2.627891390581848,0.3999386885169862,1.7885755602521898,0.020000000000000018,0.020000000000000018,39,146368,20005,17.355,5.858,12.552,0.004,2549.312,32.0,48.78181818181818,75.0520661157025,0.5352066115702478,0.9817666625600588,0.0,0.014164305949008499,0.0,0.014164305949008499,0.5643801652892563,0.4108880403990638,2.499999936844688e-05,1.3185352,0.58319855,3.1371918,2.787909
4.0,0.0,0.9297297297297298,54.07027027027027,185,10003,False,30008,1074,3,fbb3581637904fe3b44bbef2a13a54e3,2020-02-06_13-08-02,1580990882,92.96135663986206,269.95290207862854,28680,diufpc29,134.21.215.107,269.95290207862854,30008,3,0,af75cdbe,0_custom_model=Hanabi_HandInference_independent_loss,2.6820488855010365,0.3782721276316946,1.788283918089157,0.020000000000000018,0.020000000000000018,59,224000,30008,20.821,4.426,9.316,0.004,3434.866,32.0,49.10819672131147,75.74180327868852,0.569672131147541,0.981766662560059,0.0,0.014164305949008497,0.0,0.014164305949008497,0.5586065573770492,0.41088804039906385,2.499999936844688e-05,1.6028275,0.7020879,3.1479776,2.7224672
6.0,0.0,1.5903614457831325,60.01204819277108,166,10002,False,40010,1240,4,fbb3581637904fe3b44bbef2a13a54e3,2020-02-06_13-09-36,1580990976,93.7508602142334,363.70376229286194,28680,diufpc29,134.21.215.107,363.70376229286194,40010,4,0,af75cdbe,0_custom_model=Hanabi_HandInference_independent_loss,2.719147437610398,0.3671756407760184,1.7907543864488282,0.020000000000000018,0.020000000000000018,79,302112,40010,21.182,5.45,10.768,0.004,2971.641,32.0,48.906451612903226,76.48225806451613,0.49588709677419357,0.981766662560059,0.0,0.014164305949008495,0.0,0.014164305949008495,0.5612903225806452,0.41088804039906385,2.499999936844688e-05,1.6277246,0.70459896,3.1722903,2.7471833
5.0,0.0,2.5704697986577183,67.23489932885906,149,10002,False,50012,1389,5,fbb3581637904fe3b44bbef2a13a54e3,2020-02-06_13-11-10,1580991070,94.02021193504333,457.7239742279053,28680,diufpc29,134.21.215.107,457.7239742279053,50012,5,0,af75cdbe,0_custom_model=Hanabi_HandInference_independent_loss,2.737943176001368,0.3599880819738636,1.7907023954223684,0.020000000000000018,0.020000000000000018,99,380448,50012,19.183,5.219,10.681,0.005,2995.938,32.0,48.99268292682926,76.97154471544717,0.5184552845528455,0.981766662560059,0.0,0.014164305949008497,0.0,0.014164305949008497,0.5525203252032519,0.41088804039906385,2.499999936844688e-05,1.6013303,0.6458609,2.9057457,2.497024
6.0,0.0,3.195804195804196,70.04195804195804,143,10000,False,60012,1532,6,fbb3581637904fe3b44bbef2a13a54e3,2020-02-06_13-12-46,1580991166,95.35065698623657,553.0746312141418,28680,diufpc29,134.21.215.107,553.0746312141418,60012,6,0,af75cdbe,0_custom_model=Hanabi_HandInference_independent_loss,2.759767020425616,0.35540665810472394,1.7898405783655031,0.020000000000000018,0.020000000000000018,119,458720,60012,23.269,5.381,12.393,0.005,2582.178,32.0,49.04285714285714,77.37777777777778,0.5563492063492063,0.9817666625600591,0.0,0.014164305949008495,0.0,0.014164305949008495,0.5531746031746032,0.4108880403990639,2.499999936844688e-05,1.5241933,0.5451217,2.857647,2.5138316
6.0,0.0,3.3655172413793104,68.88275862068966,145,10000,False,70012,1677,7,fbb3581637904fe3b44bbef2a13a54e3,2020-02-06_13-14-21,1580991261,95.02169275283813,648.09632396698,28680,diufpc29,134.21.215.107,648.09632396698,70012,7,0,af75cdbe,0_custom_model=Hanabi_HandInference_independent_loss,2.775789999575022,0.35215002336493356,1.7925530835523031,0.020000000000000018,0.020000000000000018,139,536992,70012,18.903,4.777,9.812,0.005,3261.282,32.0,49.30564516129033,77.70161290322578,0.5362096774193549,0.981766662560059,0.0,0.014164305949008495,0.0,0.014164305949008495,0.5484677419354839,0.41088804039906385,2.499999936844688e-05,1.3628867,0.47585034,2.7166123,2.4100962
6.0,0.0,2.9205298013245033,66.35761589403974,151,10000,False,80012,1828,8,fbb3581637904fe3b44bbef2a13a54e3,2020-02-06_13-15-55,1580991355,94.5597767829895,742.6561007499695,28680,diufpc29,134.21.215.107,742.6561007499695,80012,8,0,af75cdbe,0_custom_model=Hanabi_HandInference_independent_loss,2.7843334720840796,0.34967311869333134,1.7903711266146733,0.020000000000000018,0.020000000000000018,159,615136,80012,20.013,5.019,13.374,0.005,2392.656,32.0,49.087199999999996,77.99119999999999,0.58928,0.981766662560059,0.0,0.014164305949008495,0.0,0.014164305949008495,0.5504799999999999,0.41088804039906385,2.499999936844688e-05,1.1687369,0.36534092,2.5641952,2.324573
6.0,0.0,3.3178807947019866,66.19867549668874,151,10000,False,90012,1979,9,fbb3581637904fe3b44bbef2a13a54e3,2020-02-06_13-17-29,1580991449,94.05406665802002,836.7101674079895,28680,diufpc29,134.21.215.107,836.7101674079895,90012,9,0,af75cdbe,0_custom_model=Hanabi_HandInference_independent_loss,2.7894251792828375,0.3475358201819216,1.7910572666101432,0.020000000000000018,0.020000000000000018,179,693216,90012,25.165,5.936,11.835,0.005,2703.844,32.0,49.02032520325203,78.01382113821138,0.5621951219512197,0.981766662560059,0.0,0.014164305949008497,0.0,0.014164305949008497,0.54130081300813,0.41088804039906385,2.499999936844688e-05,1.189259,0.3471206,2.7173386,2.497699
7.0,0.0,3.0337837837837838,67.54729729729729,148,10001,False,100013,2127,10,fbb3581637904fe3b44bbef2a13a54e3,2020-02-06_13-19-05,1580991545,95.28644561767578,931.9966130256653,28680,diufpc29,134.21.215.107,931.9966130256653,100013,10,0,af75cdbe,0_custom_model=Hanabi_HandInference_independent_loss,2.7998199247587574,0.34617356235581914,1.792613146313833,0.020000000000000018,0.020000000000000018,198,771328,100013,21.156,4.933,11.731,0.004,2727.714,32.0,49.0512,78.04240000000001,0.57416,0.981766662560059,0.0,0.014164305949008495,0.0,0.014164305949008495,0.53392,0.41088804039906385,2.499999936844688e-05,1.1636599,0.28805313,2.7092774,2.5281124
