episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/min_exploration,info/max_exploration,info/num_target_updates,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/replay_time_ms,info/grad_time_ms,info/update_time_ms,info/opt_peak_throughput,info/opt_samples,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,info/learner/default_policy/cur_lr,info/learner/default_policy/mean_td_error,info/learner/default_policy/q_loss,info/learner/default_policy/combined_loss,info/learner/default_policy/policy_inference_loss
0.0,0.0,0.0,19.225,520,10002,False,10002,520,1,022d38ded8924772a958dbd1b9eaea4b,2020-03-17_09-55-32,1584435332,88.76400828361511,88.76400828361511,27845,carl-1070,192.168.0.3,88.76400828361511,10002,1,0,d63b6442,2_aux_loss_formula=0.2,2.6883047960911566,0.4672700348983116,2.0574602679493377,1.0,1.0,19,69856,10002,25.551,3.878,10.343,0.003,3093.822,32.0,92.26923076923079,31.48034188034188,0.3677777777777778,0.27878665335540637,2.499999936844688e-05,1.7045996,0.9393451,1.455336,3.5192993
6.0,0.0,0.6385964912280702,35.07368421052632,285,10000,False,20002,805,2,022d38ded8924772a958dbd1b9eaea4b,2020-03-17_09-57-07,1584435427,95.11623859405518,183.8802468776703,27845,carl-1070,192.168.0.3,183.8802468776703,20002,2,0,d63b6442,2_aux_loss_formula=0.2,2.8035587088460865,0.4426619297002036,2.0594307986138105,0.020000000000000018,0.020000000000000018,39,147136,20002,20.886,4.061,9.947,0.003,3217.154,32.0,92.28467741935482,31.875,0.34830645161290325,0.27895515032035484,2.499999936844688e-05,1.3552806,0.41028205,0.9083394,2.9005685
3.0,0.0,0.5608465608465608,52.6031746031746,189,10002,False,30004,994,3,022d38ded8924772a958dbd1b9eaea4b,2020-03-17_09-58-44,1584435524,97.35194706916809,281.2321939468384,27845,carl-1070,192.168.0.3,281.2321939468384,30004,3,0,d63b6442,2_aux_loss_formula=0.2,2.8603390768921164,0.42436130680551015,2.0749848529644828,0.020000000000000018,0.020000000000000018,59,225216,30004,22.113,4.33,9.296,0.003,3442.398,32.0,92.33070866141733,32.286614173228344,0.36370078740157485,0.27897746455916755,2.499999936844688e-05,1.5474383,0.45399356,0.98819447,3.124998
4.0,0.0,0.7315789473684211,52.857894736842105,190,10003,False,40007,1184,4,022d38ded8924772a958dbd1b9eaea4b,2020-03-17_10-00-23,1584435623,98.50690698623657,379.73910093307495,27845,carl-1070,192.168.0.3,379.73910093307495,40007,4,0,d63b6442,2_aux_loss_formula=0.2,2.9055303248637863,0.41761648228583753,2.0787257439808147,0.020000000000000018,0.020000000000000018,79,303200,40007,26.467,4.824,9.762,0.003,3278.097,32.0,92.2203125,32.65625,0.3734375,0.27907932633070487,2.499999936844688e-05,1.0352345,0.32236767,0.64253014,1.9231801
5.0,0.0,0.7935779816513762,45.87155963302752,218,10000,False,50007,1402,5,022d38ded8924772a958dbd1b9eaea4b,2020-03-17_10-02-03,1584435723,99.82732939720154,479.5664303302765,27845,carl-1070,192.168.0.3,479.5664303302765,50007,5,0,d63b6442,2_aux_loss_formula=0.2,2.9399254496011618,0.41525813623676117,2.089447896116479,0.020000000000000018,0.020000000000000018,99,380608,50007,26.627,7.08,13.276,0.003,2410.372,32.0,92.23846153846154,33.050769230769234,0.37438461538461537,0.27900917465974145,2.499999936844688e-05,1.1661534,0.3713985,0.79638577,2.4963346
5.0,0.0,1.2142857142857142,59.410714285714285,168,10001,False,60008,1570,6,022d38ded8924772a958dbd1b9eaea4b,2020-03-17_10-03-43,1584435823,100.52644538879395,580.0928757190704,27845,carl-1070,192.168.0.3,580.0928757190704,60008,6,0,d63b6442,2_aux_loss_formula=0.2,2.963120886653866,0.4119518350968478,2.098563436046565,0.020000000000000018,0.020000000000000018,119,458912,60008,25.558,4.958,12.761,0.005,2507.697,32.0,92.45692307692309,33.31461538461539,0.3636153846153846,0.27907836372597344,2.499999936844688e-05,1.032659,0.32184312,0.6481104,1.9531792
6.0,0.0,2.0921052631578947,66.02631578947368,152,10000,False,70008,1722,7,022d38ded8924772a958dbd1b9eaea4b,2020-03-17_10-05-24,1584435924,100.85820889472961,680.9510846138,27845,carl-1070,192.168.0.3,680.9510846138,70008,7,0,d63b6442,2_aux_loss_formula=0.2,2.9807169423923088,0.407878718348644,2.1025868529545506,0.020000000000000018,0.020000000000000018,139,537024,70008,20.998,4.373,10.008,0.003,3197.373,32.0,92.16307692307693,33.300000000000004,0.36784615384615377,0.27897505402433936,2.499999936844688e-05,1.068943,0.47404182,0.80150235,2.1113446
6.0,0.0,2.5918367346938775,67.76190476190476,147,10001,False,80009,1869,8,022d38ded8924772a958dbd1b9eaea4b,2020-03-17_10-07-05,1584436025,100.95705986022949,781.9081444740295,27845,carl-1070,192.168.0.3,781.9081444740295,80009,8,0,d63b6442,2_aux_loss_formula=0.2,2.997606887312971,0.4053418557328901,2.1064122643053054,0.020000000000000018,0.020000000000000018,159,614912,80009,25.067,4.612,14.207,0.003,2252.455,32.0,92.34307692307691,33.300769230769234,0.3679230769230769,0.27895515032035484,2.499999936844688e-05,1.2566065,0.47329244,0.71197355,1.6666979
6.0,0.0,2.9869281045751634,65.6078431372549,153,10002,False,90011,2022,9,022d38ded8924772a958dbd1b9eaea4b,2020-03-17_10-08-46,1584436126,101.04052948951721,882.9486739635468,27845,carl-1070,192.168.0.3,882.9486739635468,90011,9,0,d63b6442,2_aux_loss_formula=0.2,3.010205401981207,0.4037350553582391,2.1129594169404378,0.020000000000000018,0.020000000000000018,179,693056,90011,22.374,5.181,13.199,0.003,2424.514,32.0,92.5030534351145,33.33664122137405,0.37412213740458017,0.27901158394124886,2.499999936844688e-05,1.2568932,0.3728387,0.7079722,2.0485063
8.0,0.0,2.896103896103896,65.05194805194805,154,10001,False,100012,2176,10,022d38ded8924772a958dbd1b9eaea4b,2020-03-17_10-10-27,1584436227,101.15436935424805,984.1030433177948,27845,carl-1070,192.168.0.3,984.1030433177948,100012,10,0,d63b6442,2_aux_loss_formula=0.2,3.0189205824881253,0.402164865917742,2.116140473904835,0.020000000000000018,0.020000000000000018,199,771136,100012,25.423,6.076,10.376,0.003,3084.132,32.0,92.41221374045801,33.30763358778627,0.3693893129770993,0.2790266329068206,2.499999936844688e-05,1.1156764,0.28787452,0.5725231,1.7111173
