episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/min_exploration,info/max_exploration,info/num_target_updates,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/replay_time_ms,info/grad_time_ms,info/update_time_ms,info/opt_peak_throughput,info/opt_samples,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,perf/gpu_util_percent1,perf/vram_util_percent1,perf/gpu_util_percent2,perf/vram_util_percent2,perf/gpu_util_percent3,perf/vram_util_percent3,info/learner/default_policy/cur_lr,info/learner/default_policy/mean_td_error,info/learner/default_policy/q_loss,info/learner/default_policy/combined_loss,info/learner/default_policy/policy_inference_loss
0.0,0.0,0.0,19.09751434034417,523,10001,False,10001,523,1,916ff790b04d4b479ec705a4e01a0ebe,2020-03-14_12-04-52,1584183892,115.04789853096008,115.04789853096008,23508,diufpc29,134.21.215.107,115.04789853096008,10001,1,0,587863dc,0,3.7757901416189488,0.62805766287236,2.3501583720850148,1.0,1.0,19,69600,10001,34.763,6.476,13.029,0.005,2456.063,32.0,81.34594594594596,16.935135135135134,0.0,0.014167795983737836,0.0,0.014164305949008497,0.0,0.014164305949008497,0.15662162162162163,0.1627447129356232,2.499999936844688e-05,1.5568624,0.93539894,3.813218,3.2981539
4.0,0.0,0.014242115971515769,10.185147507629704,983,10000,False,20001,1506,2,916ff790b04d4b479ec705a4e01a0ebe,2020-03-14_12-06-52,1584184012,119.60772180557251,234.6556203365326,23508,diufpc29,134.21.215.107,234.6556203365326,20001,2,0,587863dc,0,3.8222978068005893,0.7331118527664838,2.3634576523372517,0.020000000000000018,0.020000000000000018,39,140128,20001,38.484,7.152,13.291,0.005,2407.597,32.0,81.59276315789472,17.107236842105266,0.0,0.014167795983737835,0.0,0.014164305949008497,0.0,0.014164305949008497,0.15664473684210528,0.16639980293139553,2.499999936844688e-05,1.3197606,0.7575083,3.5148132,3.0834224
6.0,0.0,0.24646464646464647,20.21212121212121,495,10004,False,30005,2001,3,916ff790b04d4b479ec705a4e01a0ebe,2020-03-14_12-08-54,1584184134,121.7594153881073,356.4150357246399,23508,diufpc29,134.21.215.107,356.4150357246399,30005,3,0,587863dc,0,3.8697353197893753,0.6989750839555804,2.367679726193128,0.020000000000000018,0.020000000000000018,59,214496,30005,25.26,6.343,11.774,0.004,2717.772,32.0,81.52258064516128,17.121290322580645,0.0,0.014167795983737836,0.0,0.014164305949008495,0.0,0.014164305949008495,0.15329032258064515,0.16639980293139556,2.499999936844688e-05,1.4485073,0.31868845,2.7929041,2.5950744
4.0,0.0,0.8390804597701149,57.43103448275862,174,10002,False,40007,2175,4,916ff790b04d4b479ec705a4e01a0ebe,2020-03-14_12-10-59,1584184259,124.98727536201477,481.40231108665466,23508,diufpc29,134.21.215.107,481.40231108665466,40007,4,0,587863dc,0,3.9363906943107736,0.6507427362115618,2.3780148727284653,0.020000000000000018,0.020000000000000018,79,292544,40007,29.817,9.747,12.947,0.005,2471.545,32.0,81.08553459119499,17.1937106918239,0.0,0.014167795983737836,0.0,0.014164305949008494,0.0,0.014164305949008494,0.15742138364779876,0.16639980293139556,2.499999936844688e-05,1.2678816,0.2675132,2.9533148,2.793252
3.0,0.0,0.7267080745341615,61.807453416149066,161,10003,False,50010,2336,5,916ff790b04d4b479ec705a4e01a0ebe,2020-03-14_12-13-06,1584184386,126.95307803153992,608.3553891181946,23508,diufpc29,134.21.215.107,608.3553891181946,50010,5,0,587863dc,0,3.987022981595245,0.6224931957253874,2.3861745415690336,0.020000000000000018,0.020000000000000018,99,370624,50010,29.25,6.645,12.593,0.005,2541.112,32.0,81.55465838509316,17.15341614906832,0.0,0.014167795983737836,0.0,0.014164305949008499,0.0,0.014164305949008499,0.15167701863354038,0.16639980293139556,2.499999936844688e-05,1.552019,0.29417568,2.659306,2.4722102
4.0,0.0,1.0125786163522013,63.23270440251572,159,10002,False,60012,2495,6,916ff790b04d4b479ec705a4e01a0ebe,2020-03-14_12-15-14,1584184514,128.10116720199585,736.4565563201904,23508,diufpc29,134.21.215.107,736.4565563201904,60012,6,0,587863dc,0,4.023323636536788,0.6028024379935656,2.395268794823506,0.020000000000000018,0.020000000000000018,119,448736,60012,33.035,11.216,14.916,0.006,2145.417,32.0,81.74691358024691,17.235802469135802,0.0,0.014167795983737836,0.0,0.014164305949008497,0.0,0.014164305949008497,0.1527777777777778,0.16639980293139556,2.499999936844688e-05,1.3705832,0.27580076,2.2103722,2.0161335
3.0,0.0,0.9090909090909091,56.51136363636363,176,10002,False,70014,2671,7,916ff790b04d4b479ec705a4e01a0ebe,2020-03-14_12-17-21,1584184641,127.2917206287384,863.7482769489288,23508,diufpc29,134.21.215.107,863.7482769489288,70014,7,0,587863dc,0,4.043596045360517,0.589147056465832,2.394263816338149,0.020000000000000018,0.020000000000000018,139,526816,70014,27.767,6.058,12.609,0.006,2537.792,32.0,81.48012422360247,17.185714285714287,0.0,0.014167795983737836,0.0,0.014164305949008499,0.0,0.014164305949008499,0.15298136645962734,0.16639980293139556,2.499999936844688e-05,1.4150281,0.32158267,2.4527326,2.2377584
4.0,0.0,0.8578431372549019,49.0,204,10000,False,80014,2875,8,916ff790b04d4b479ec705a4e01a0ebe,2020-03-14_12-19-28,1584184768,126.76111888885498,990.5093958377838,23508,diufpc29,134.21.215.107,990.5093958377838,80014,8,0,587863dc,0,4.065839458701938,0.579098840062431,2.3931213420286395,0.020000000000000018,0.020000000000000018,159,604192,80014,30.777,7.548,13.703,0.006,2335.212,32.0,81.52173913043478,17.157142857142855,0.0,0.014167795983737836,0.0,0.014164305949008499,0.0,0.014164305949008499,0.15111801242236023,0.16639980293139556,2.499999936844688e-05,1.4172232,0.5497161,2.540943,2.1675615
4.0,0.0,1.4733727810650887,59.37869822485207,169,10003,False,90017,3044,9,916ff790b04d4b479ec705a4e01a0ebe,2020-03-14_12-21-34,1584184894,125.79132509231567,1116.3007209300995,23508,diufpc29,134.21.215.107,1116.3007209300995,90017,9,0,587863dc,0,4.071190831259213,0.5703129016574804,2.388230434381324,0.020000000000000018,0.020000000000000018,178,682240,90017,35.365,7.782,14.604,0.005,2191.156,32.0,81.05660377358488,16.98867924528302,0.0,0.014167795983737836,0.0,0.014164305949008494,0.0,0.014164305949008494,0.1546540880503145,0.16639980293139556,2.499999936844688e-05,1.2297568,0.39971077,2.678148,2.4212718
5.0,0.0,2.21656050955414,63.93630573248408,157,10002,False,100019,3201,10,916ff790b04d4b479ec705a4e01a0ebe,2020-03-14_12-23-41,1584185021,127.33832859992981,1243.6390495300293,23508,diufpc29,134.21.215.107,1243.6390495300293,100019,10,0,587863dc,0,4.0816660732942305,0.5645378603974858,2.3946532040100563,0.020000000000000018,0.020000000000000018,198,760256,100019,34.125,6.885,14.485,0.006,2209.254,32.0,81.89192546583851,17.16335403726708,0.0,0.014167795983737836,0.0,0.014164305949008499,0.0,0.014164305949008499,0.1525465838509317,0.16639980293139556,2.499999936844688e-05,1.1112249,0.27920282,2.5460575,2.3644843
5.0,0.0,2.5838926174496644,67.08053691275168,149,10003,False,110022,3350,11,916ff790b04d4b479ec705a4e01a0ebe,2020-03-14_12-25-48,1584185148,126.29358410835266,1369.932633638382,23508,diufpc29,134.21.215.107,1369.932633638382,110022,11,0,587863dc,0,4.0856738556231615,0.5583688450169922,2.3945658034408774,0.020000000000000018,0.020000000000000018,218,838208,110022,33.265,8.273,13.842,0.005,2311.811,32.0,81.275,17.134375,0.0,0.014167795983737835,0.0,0.014164305949008499,0.0,0.014164305949008499,0.15425,0.16639980293139553,2.499999936844688e-05,1.1844519,0.2468487,2.1183465,1.941173
5.0,0.0,2.5125,62.54375,160,10003,False,120025,3510,12,916ff790b04d4b479ec705a4e01a0ebe,2020-03-14_12-27-53,1584185273,125.16845393180847,1495.1010875701904,23508,diufpc29,134.21.215.107,1495.1010875701904,120025,12,0,587863dc,0,4.086743938233523,0.5540871594554417,2.3931069888109917,0.020000000000000018,0.020000000000000018,238,916032,120025,30.968,6.72,13.391,0.005,2389.734,32.0,80.74240506329113,17.019620253164558,0.0,0.014167795983737838,0.0,0.014164305949008494,0.0,0.014164305949008494,0.1538607594936709,0.16639980293139559,2.499999936844688e-05,1.1650214,0.23282483,1.911228,1.7344413
5.0,0.0,2.664473684210526,65.375,152,10001,False,130026,3662,13,916ff790b04d4b479ec705a4e01a0ebe,2020-03-14_12-30-01,1584185401,128.69693684577942,1623.7980244159698,23508,diufpc29,134.21.215.107,1623.7980244159698,130026,13,0,587863dc,0,4.094889726325621,0.5507637590277629,2.398863928249998,0.020000000000000018,0.020000000000000018,258,993728,130026,33.104,8.63,13.886,0.006,2304.468,32.0,82.55030674846626,17.453374233128834,0.0,0.014167795983737835,0.0,0.014164305949008497,0.0,0.014164305949008497,0.16282208588957053,0.17586181621992494,2.499999936844688e-05,0.86869454,0.16323404,1.8492347,1.7249485
7.0,0.0,2.8525641025641026,64.46794871794872,156,10001,False,140027,3818,14,916ff790b04d4b479ec705a4e01a0ebe,2020-03-14_12-32-11,1584185531,129.5718424320221,1753.369866847992,23508,diufpc29,134.21.215.107,1753.369866847992,140027,14,0,587863dc,0,4.101138482659521,0.5473094326318702,2.403106813471445,0.020000000000000018,0.020000000000000018,278,1071680,140027,36.534,7.751,13.53,0.006,2365.053,32.0,83.3969512195122,18.75243902439024,0.0,0.014167795983737836,0.0,0.014164305949008497,0.0,0.014164305949008497,0.2120731707317073,0.21110974257913537,2.499999936844688e-05,1.2267983,0.21509703,2.002059,1.843644
6.0,0.0,3.066225165562914,65.88741721854305,151,10001,False,150028,3969,15,916ff790b04d4b479ec705a4e01a0ebe,2020-03-14_12-34-22,1584185662,131.24915552139282,1884.6190223693848,23508,diufpc29,134.21.215.107,1884.6190223693848,150028,15,0,587863dc,0,4.1125525276556925,0.5444540605751501,2.4085834890944087,0.020000000000000018,0.020000000000000018,298,1149760,150028,38.608,7.583,14.038,0.005,2279.455,32.0,83.4830303030303,18.964242424242425,0.0,0.014167795983737836,0.0,0.014164305949008497,0.0,0.014164305949008497,0.21363636363636362,0.2111097425791354,2.499999936844688e-05,1.1853263,0.21385019,2.1741266,2.0238037
6.0,0.0,2.915032679738562,65.3921568627451,153,10001,False,160029,4122,16,916ff790b04d4b479ec705a4e01a0ebe,2020-03-14_12-36-31,1584185791,129.12686371803284,2013.7458860874176,23508,diufpc29,134.21.215.107,2013.7458860874176,160029,16,0,587863dc,0,4.118249295274552,0.5425800686928176,2.4110876567037494,0.020000000000000018,0.020000000000000018,318,1227936,160029,30.475,9.557,12.551,0.005,2549.68,32.0,82.81158536585367,19.033536585365855,0.0,0.014167795983737836,0.0,0.014164305949008497,0.0,0.014164305949008497,0.2173170731707317,0.21110974257913537,2.499999936844688e-05,0.9766613,0.16957618,2.4816513,2.3715353
6.0,0.0,3.2348993288590604,67.46979865771812,149,10001,False,170030,4271,17,916ff790b04d4b479ec705a4e01a0ebe,2020-03-14_12-38-41,1584185921,129.60653495788574,2143.3524210453033,23508,diufpc29,134.21.215.107,2143.3524210453033,170030,17,0,587863dc,0,4.12182136585764,0.5406286224659941,2.4151834341213165,0.020000000000000018,0.020000000000000018,338,1306112,170030,33.685,7.191,17.637,0.007,1814.342,32.0,83.12147239263803,18.885276073619632,0.0,0.014167795983737835,0.0,0.014164305949008497,0.0,0.014164305949008497,0.21257668711656436,0.21110974257913534,2.499999936844688e-05,1.339597,0.23187943,2.1165304,1.9504993
6.0,0.0,3.2287581699346406,65.18300653594771,153,10001,False,180031,4424,18,916ff790b04d4b479ec705a4e01a0ebe,2020-03-14_12-40-52,1584186052,130.81086611747742,2274.1632871627808,23508,diufpc29,134.21.215.107,2274.1632871627808,180031,18,0,587863dc,0,4.129670861925654,0.5388316368670673,2.419750188620448,0.020000000000000018,0.020000000000000018,358,1384288,180031,33.357,7.406,15.08,0.006,2121.989,32.0,83.7030303030303,19.02,0.0,0.014167795983737836,0.0,0.014164305949008497,0.0,0.014164305949008497,0.21284848484848484,0.2111097425791354,2.499999936844688e-05,1.1796745,0.20524219,1.6729751,1.5057137
6.0,0.0,3.2432432432432434,67.51351351351352,148,10000,False,190031,4572,19,916ff790b04d4b479ec705a4e01a0ebe,2020-03-14_12-43-03,1584186183,130.81996250152588,2404.9832496643066,23508,diufpc29,134.21.215.107,2404.9832496643066,190031,19,0,587863dc,0,4.134826486770045,0.536459391265202,2.4249875310577202,0.020000000000000018,0.020000000000000018,377,1462464,190031,29.965,7.165,12.541,0.005,2551.614,32.0,83.3769696969697,19.132727272727273,0.0,0.014167795983737836,0.0,0.014164305949008497,0.0,0.014164305949008497,0.21569696969696972,0.2111097425791354,2.499999936844688e-05,1.0699015,0.20116721,2.1676443,2.0263245
7.0,0.0,2.987878787878788,60.915151515151514,165,10006,False,200037,4737,20,916ff790b04d4b479ec705a4e01a0ebe,2020-03-14_12-45-13,1584186313,130.2214696407318,2535.2047193050385,23508,diufpc29,134.21.215.107,2535.2047193050385,200037,20,0,587863dc,0,4.140082772853481,0.5353428365673664,2.4286160177619998,0.020000000000000018,0.020000000000000018,397,1540352,200037,30.49,7.182,12.926,0.005,2475.597,32.0,83.65304878048781,19.132317073170732,0.0,0.014167795983737836,0.0,0.014164305949008497,0.0,0.014164305949008497,0.21506097560975612,0.21110974257913537,2.499999936844688e-05,1.1860898,0.2156649,2.3091578,2.1625013
6.0,0.0,2.867088607594937,62.936708860759495,158,10001,False,210038,4895,21,916ff790b04d4b479ec705a4e01a0ebe,2020-03-14_12-47-25,1584186445,131.68623280525208,2666.8909521102905,23508,diufpc29,134.21.215.107,2666.8909521102905,210038,21,0,587863dc,0,4.1482661636065865,0.5343717843646875,2.43348051843525,0.020000000000000018,0.020000000000000018,417,1618368,210038,34.568,7.875,16.991,0.007,1883.395,32.0,83.50843373493977,19.18132530120482,0.0,0.014167795983737836,0.0,0.014164305949008495,0.0,0.014164305949008495,0.20524096385542165,0.21110974257913537,2.499999936844688e-05,1.0360218,0.19503188,1.77253,1.6192636
6.0,0.0,3.114864864864865,67.85135135135135,148,10002,False,220040,5043,22,916ff790b04d4b479ec705a4e01a0ebe,2020-03-14_12-49-35,1584186575,130.0576033592224,2796.948555469513,23508,diufpc29,134.21.215.107,2796.948555469513,220040,22,0,587863dc,0,4.1530248943754,0.5325519636191307,2.433359009691994,0.020000000000000018,0.020000000000000018,437,1696544,220040,31.416,7.007,12.425,0.005,2575.543,32.0,83.20914634146342,19.048780487804876,0.0,0.014167795983737836,0.0,0.014164305949008497,0.0,0.014164305949008497,0.21890243902439027,0.21110974257913537,2.499999936844688e-05,1.0366297,0.2003645,2.3002508,2.1640475
6.0,0.0,3.2534246575342465,68.58904109589041,146,10002,False,230042,5189,23,916ff790b04d4b479ec705a4e01a0ebe,2020-03-14_12-51-46,1584186706,130.75400161743164,2927.7025570869446,23508,diufpc29,134.21.215.107,2927.7025570869446,230042,23,0,587863dc,0,4.156501644541087,0.531472426685503,2.4356041467149474,0.020000000000000018,0.020000000000000018,457,1774880,230042,30.012,7.589,11.071,0.005,2890.344,32.0,83.2709090909091,19.095151515151514,0.0,0.014167795983737836,0.0,0.014164305949008497,0.0,0.014164305949008497,0.21648484848484847,0.2111097425791354,2.499999936844688e-05,1.1778327,0.21386275,1.4742211,1.2856038
