episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/min_exploration,info/max_exploration,info/num_target_updates,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/replay_time_ms,info/grad_time_ms,info/update_time_ms,info/opt_peak_throughput,info/opt_samples,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,perf/gpu_util_percent1,perf/vram_util_percent1,perf/gpu_util_percent2,perf/vram_util_percent2,perf/gpu_util_percent3,perf/vram_util_percent3,info/learner/default_policy/cur_lr,info/learner/default_policy/mean_td_error,info/learner/default_policy/q_loss
0.0,0.0,0.0,19.51953125,512,10003,False,10003,512,1,e9d0f02f90e04e15a972c9bf485b8e16,2020-03-14_12-31-25,1584185485,109.36387801170349,109.36387801170349,23505,diufpc29,134.21.215.107,109.36387801170349,10003,1,0,11ca2728,0,3.6652151540262765,0.6164651990615847,2.3941720915064657,1.0,1.0,19,69984,10003,26.975,5.899,9.635,0.004,3321.185,32.0,83.65285714285716,18.56642857142857,0.0,0.014167795983737836,0.0,0.014164305949008497,0.0,0.014164305949008497,0.21864285714285714,0.21107455175690176,1.76800003828248e-05,1.7602441,1.0863314
6.0,0.0,0.35774647887323946,27.988732394366195,355,10000,False,20003,867,2,e9d0f02f90e04e15a972c9bf485b8e16,2020-03-14_12-33-20,1584185600,115.11827397346497,224.48215198516846,23505,diufpc29,134.21.215.107,224.48215198516846,20003,2,0,11ca2728,0,3.7468845962125537,0.5929769172883912,2.3722070181167787,0.020000000000000018,0.020000000000000018,39,146240,20003,30.57,6.291,10.765,0.005,2972.589,32.0,83.58299319727891,18.946938775510205,0.0,0.014167795983737838,0.0,0.014164305949008497,0.0,0.014164305949008497,0.21136054421768707,0.2111097425791353,1.76800003828248e-05,1.4064667,0.5318663
4.0,0.0,0.9215686274509803,65.43137254901961,153,10003,False,30006,1020,3,e9d0f02f90e04e15a972c9bf485b8e16,2020-03-14_12-35-17,1584185717,116.98285508155823,341.4650070667267,23505,diufpc29,134.21.215.107,341.4650070667267,30006,3,0,11ca2728,0,3.809531447649875,0.5571841955264382,2.377053158794073,0.020000000000000018,0.020000000000000018,59,224640,30006,30.435,7.935,10.845,0.004,2950.67,32.0,82.89395973154365,18.895973154362412,0.0,0.014167795983737836,0.0,0.014164305949008495,0.0,0.014164305949008495,0.21946308724832217,0.2111097425791353,1.76800003828248e-05,1.4912485,0.537747
5.0,0.0,1.4265734265734267,70.16083916083916,143,10001,False,40007,1163,4,e9d0f02f90e04e15a972c9bf485b8e16,2020-03-14_12-37-15,1584185835,118.34369564056396,459.80870270729065,23505,diufpc29,134.21.215.107,459.80870270729065,40007,4,0,11ca2728,0,3.8555449390223084,0.5350866527738045,2.3757505844713807,0.020000000000000018,0.020000000000000018,79,303200,40007,28.494,6.811,11.364,0.004,2815.825,32.0,82.92733333333332,18.970666666666663,0.0,0.014167795983737836,0.0,0.014164305949008495,0.0,0.014164305949008495,0.20726666666666668,0.21110974257913534,1.76800003828248e-05,1.427635,0.50222564
7.0,0.0,2.4413793103448276,69.1103448275862,145,10001,False,50008,1308,5,e9d0f02f90e04e15a972c9bf485b8e16,2020-03-14_12-39-15,1584185955,120.17011785507202,579.9788205623627,23505,diufpc29,134.21.215.107,579.9788205623627,50008,5,0,11ca2728,0,3.894298069764831,0.5239111599345918,2.375960559794629,0.020000000000000018,0.020000000000000018,99,381536,50008,28.514,9.659,10.644,0.004,3006.366,32.0,83.37565789473685,18.971052631578946,0.0,0.014167795983737835,0.0,0.014164305949008497,0.0,0.014164305949008497,0.2169078947368421,0.2111097425791353,1.76800003828248e-05,1.4622903,0.50794595
6.0,0.0,3.074829931972789,68.0952380952381,147,10002,False,60010,1455,6,e9d0f02f90e04e15a972c9bf485b8e16,2020-03-14_12-41-17,1584186077,121.21689367294312,701.1957142353058,23505,diufpc29,134.21.215.107,701.1957142353058,60010,6,0,11ca2728,0,3.9263904386690673,0.519297753584263,2.380703439253914,0.020000000000000018,0.020000000000000018,119,459872,60010,37.737,7.718,10.118,0.004,3162.574,32.0,83.74444444444445,19.041176470588237,0.0,0.014167795983737836,0.0,0.014164305949008497,0.0,0.014164305949008497,0.21549019607843137,0.21110974257913534,1.76800003828248e-05,1.3810285,0.50314903
5.0,0.0,3.28,66.38666666666667,150,10002,False,70012,1605,7,e9d0f02f90e04e15a972c9bf485b8e16,2020-03-14_12-43-17,1584186197,120.38935875892639,821.5850729942322,23505,diufpc29,134.21.215.107,821.5850729942322,70012,7,0,11ca2728,0,3.9435825506446562,0.5147149394754954,2.3847324382071085,0.020000000000000018,0.020000000000000018,139,537888,70012,32.854,9.079,11.515,0.005,2778.898,32.0,83.26315789473684,19.178289473684213,0.0,0.014167795983737835,0.0,0.014164305949008497,0.0,0.014164305949008497,0.20894736842105263,0.2111097425791353,1.76800003828248e-05,1.5183562,0.5460907
5.0,0.0,3.54,66.68666666666667,150,10003,False,80015,1755,8,e9d0f02f90e04e15a972c9bf485b8e16,2020-03-14_12-45-18,1584186318,120.83691573143005,942.4219887256622,23505,diufpc29,134.21.215.107,942.4219887256622,80015,8,0,11ca2728,0,3.961066956935367,0.5117029413098769,2.3850710554471775,0.020000000000000018,0.020000000000000018,159,616064,80015,27.709,7.153,11.596,0.004,2759.564,32.0,83.66973684210525,19.10263157894737,0.0,0.014167795983737835,0.0,0.014164305949008497,0.0,0.014164305949008497,0.20967105263157892,0.2111097425791353,1.76800003828248e-05,1.3533517,0.44276336
6.0,0.0,3.3904109589041096,68.55479452054794,146,10001,False,90016,1901,9,e9d0f02f90e04e15a972c9bf485b8e16,2020-03-14_12-47-19,1584186439,121.28722167015076,1063.709210395813,23505,diufpc29,134.21.215.107,1063.709210395813,90016,9,0,11ca2728,0,3.971528132950774,0.5104988131409777,2.3937691320077334,0.020000000000000018,0.020000000000000018,179,694208,90016,27.501,6.942,13.73,0.021,2330.723,32.0,83.55882352941177,19.186928104575163,0.0,0.014167795983737836,0.0,0.014164305949008497,0.0,0.014164305949008497,0.21555555555555553,0.21110974257913534,1.76800003828248e-05,1.2381806,0.34104043
6.0,0.0,3.423611111111111,69.42361111111111,144,10001,False,100017,2045,10,e9d0f02f90e04e15a972c9bf485b8e16,2020-03-14_12-49-20,1584186560,120.9711184501648,1184.6803288459778,23505,diufpc29,134.21.215.107,1184.6803288459778,100017,10,0,11ca2728,0,3.9792803155464247,0.508370140940599,2.3925499946540154,0.020000000000000018,0.020000000000000018,199,772480,100017,24.681,6.5,11.503,0.004,2781.974,32.0,83.23725490196078,19.084313725490194,0.0,0.014167795983737836,0.0,0.014164305949008497,0.0,0.014164305949008497,0.22202614379084967,0.21110974257913534,1.76800003828248e-05,1.2633142,0.33954722
